1968-580,1,Grand Slam,Australian Chps.,580,australian-chps,"Melbourne, Australia",1968.01.19,1968,1,19,64,32,Outdoor,Grass,,,,/en/scores/archive/australian-chps/580/1968/results,Bill Bowrey,/en/players/bill-bowrey/b224/overview,bill-bowrey,b224,Dick Crealy,/en/players/dick-crealy/c093/overview,dick-crealy,c093,Allan Stone,/en/players/allan-stone/s148/overview,allan-stone,s148
1968-347,2,,Bournemouth,347,bournemouth,Bournemouth,1968.04.22,1968,4,22,32,16,Outdoor,Clay,"$10,000",USD,10000,/en/scores/archive/bournemouth/347/1968/results,Ken Rosewall,/en/players/ken-rosewall/r075/overview,ken-rosewall,r075,Roy Emerson,/en/players/roy-emerson/e030/overview,roy-emerson,e030,Rod Laver,/en/players/rod-laver/l058/overview,rod-laver,l058
1968-416,3,,Rome,416,rome,Rome,1968.05.06,1968,5,6,128,32,Outdoor,Clay,,,,/en/scores/archive/rome/416/1968/results,Tom Okker,/en/players/tom-okker/o032/overview,tom-okker,o032,Tom Okker,/en/players/tom-okker/o032/overview,tom-okker,o032,Marty Riessen,/en/players/marty-riessen/r055/overview,marty-riessen,r055
1968-520,4,Grand Slam,Roland Garros,520,roland-garros,Paris,1968.05.27,1968,5,27,128,64,Outdoor,Clay,"$21,500",USD,21500,/en/scores/archive/roland-garros/520/1968/results,Ken Rosewall,/en/players/ken-rosewall/r075/overview,ken-rosewall,r075,Ken Rosewall,/en/players/ken-rosewall/r075/overview,ken-rosewall,r075,Fred Stolle,/en/players/fred-stolle/s129/overview,fred-stolle,s129
1968-425,5,,Barcelona,425,barcelona,Barcelona,1968.06.17,1968,6,17,64,32,Outdoor,Clay,,,,/en/scores/archive/barcelona/425/1968/results,Martin Mulligan,/en/players/martin-mulligan/m155/overview,martin-mulligan,m155,Carlos-Alberto Fernandes,/en/players/carlos-alberto-fernandes/f111/overview,carlos-alberto-fernandes,f111,Patricio Rodriguez,/en/players/patricio-rodriguez/r074/overview,patricio-rodriguez,r074
1968-311,6,,London / Queen's Club,311,london,London,1968.06.17,1968,6,17,64,32,Outdoor,Grass,,,,/en/scores/archive/london/311/1968/results,,,,,,,,,,,,
1968-540,7,Grand Slam,Wimbledon,540,wimbledon,London,1968.06.24,1968,6,24,128,64,Outdoor,Grass,"$43,788",USD,43788,/en/scores/archive/wimbledon/540/1968/results,Rod Laver,/en/players/rod-laver/l058/overview,rod-laver,l058,John Newcombe,/en/players/john-newcombe/n044/overview,john-newcombe,n044,Tony Roche,/en/players/tony-roche/r073/overview,tony-roche,r073
1968-422,8,,Cincinnati,422,cincinnati,Cincinnati,1968.07.01,1968,7,1,16,32,Outdoor,Clay,,,,/en/scores/archive/cincinnati/422/1968/results,William Harris,/en/players/william-harris/h144/overview,william-harris,h144,William Brown,/en/players/william-brown/b134/overview,william-brown,b134,Ron Goldman,/en/players/ron-goldman/g160/overview,ron-goldman,g160
1968-2029,9,,Dublin,2029,dublin,"Dublin, Ireland",1968.07.08,1968,7,8,32,0,Outdoor,Grass,"$7,200",USD,7200,/en/scores/archive/dublin/2029/1968/results,Tom Okker,/en/players/tom-okker/o032/overview,tom-okker,o032,,,,,,,,
1968-314,10,,Gstaad,314,gstaad,Gstaad,1968.07.15,1968,7,15,32,16,Outdoor,Clay,,,,/en/scores/archive/gstaad/314/1968/results,Cliff Drysdale,/en/players/cliff-drysdale/d082/overview,cliff-drysdale,d082,John Newcombe,/en/players/john-newcombe/n044/overview,john-newcombe,n044,Dennis Ralston,/en/players/dennis-ralston/r064/overview,dennis-ralston,r064
1968-414,11,,Hamburg,414,hamburg,Hamburg,1968.08.05,1968,8,5,64,32,Outdoor,Clay,"$10,000",USD,10000,/en/scores/archive/hamburg/414/1968/results,John Newcombe,/en/players/john-newcombe/n044/overview,john-newcombe,n044,Tom Okker,/en/players/tom-okker/o032/overview,tom-okker,o032,Marty Riessen,/en/players/marty-riessen/r055/overview,marty-riessen,r055
