1980-713,1,,Hobart,713,hobart,Hobart,1979.12.31,1980,12,31,32,16,Outdoor,Hard,"$50,000",USD,50000,/en/scores/archive/hobart/713/1980/results,Shlomo Glickstein,/en/players/shlomo-glickstein/g019/overview,shlomo-glickstein,g019,John James,/en/players/john-james/j029/overview,john-james,j029,Chris Kachel,/en/players/chris-kachel/k044/overview,chris-kachel,k044
1980-301,2,,Auckland,301,auckland,Auckland,1980.01.01,1980,1,1,32,16,Outdoor,Hard,"$50,000",USD,50000,/en/scores/archive/auckland/301/1980/results,John Sadri,/en/players/john-sadri/s005/overview,john-sadri,s005,Peter Feigl,/en/players/peter-feigl/f011/overview,peter-feigl,f011,Rod Frawley,/en/players/rod-frawley/f039/overview,rod-frawley,f039
1980-601,3,,Masters Doubles WCT,601,london,London,1980.01.02,1980,1,2,0,8,Indoor,Carpet,"$200,000",USD,200000,/en/scores/archive/london/601/1980/results,,,,,Brian Gottfried,/en/players/brian-gottfried/g029/overview,brian-gottfried,g029,Raul Ramirez,/en/players/raul-ramirez/r065/overview,raul-ramirez,r065
1980-712,4,,Birmingham WCT,712,birmingham,Birmingham,1980.01.14,1980,1,14,32,16,Indoor,Carpet,"$175,000",USD,175000,/en/scores/archive/birmingham/712/1980/results,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,Wojtek Fibak,/en/players/wojtek-fibak/f020/overview,wojtek-fibak,f020,Tom Okker,/en/players/tom-okker/o032/overview,tom-okker,o032
1980-816,5,,Baltimore,816,baltimore,Baltimore,1980.01.14,1980,1,14,32,16,Indoor,Carpet,"$75,000",USD,75000,/en/scores/archive/baltimore/816/1980/results,Harold Solomon,/en/players/harold-solomon/s065/overview,harold-solomon,s065,Tim Gullikson,/en/players/tim-gullikson/g048/overview,tim-gullikson,g048,Marty Riessen,/en/players/marty-riessen/r055/overview,marty-riessen,r055
1980-401,6,,Philadelphia WCT,401,philadelphia,Philadelphia,1980.01.21,1980,1,21,64,32,Indoor,Carpet,"$250,000",USD,250000,/en/scores/archive/philadelphia/401/1980/results,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,Peter Fleming,/en/players/peter-fleming/f030/overview,peter-fleming,f030,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047
1980-802,7,,Richmond WCT,802,richmond,Richmond,1980.01.28,1980,1,28,32,16,Indoor,Carpet,"$175,000",USD,175000,/en/scores/archive/richmond/802/1980/results,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047,Fritz Buehning,/en/players/fritz-buehning/b079/overview,fritz-buehning,b079,Johan Kriek,/en/players/johan-kriek/k022/overview,johan-kriek,k022
1980-358,8,,San Juan,358,san-juan,San Juan,1980.01.28,1980,1,28,32,16,Outdoor,Hard,"$75,000",USD,75000,/en/scores/archive/san-juan/358/1980/results,Raul Ramirez,/en/players/raul-ramirez/r065/overview,raul-ramirez,r065,,,,,,,,
1980-1725,9,,Pepsi Grand Slam,1725,boca-raton,Boca Raton,1980.02.08,1980,2,8,4,0,Outdoor,Clay,"$300,000",USD,300000,/en/scores/archive/boca-raton/1725/1980/results,Bjorn Borg,/en/players/bjorn-borg/b058/overview,bjorn-borg,b058,,,,,,,,
1980-404,10,,Rancho Mirage,404,rancho-mirage,Rancho Mirage,1980.02.11,1980,2,11,64,32,Outdoor,Hard,"$250,000",USD,250000,/en/scores/archive/rancho-mirage/404/1980/results,,,,,,,,,,,,
1980-709,11,,Sarasota,709,sarasota,Sarasota,1980.02.11,1980,2,11,32,16,Outdoor,Clay,"$50,000",USD,50000,/en/scores/archive/sarasota/709/1980/results,Eddie Dibbs,/en/players/eddie-dibbs/d026/overview,eddie-dibbs,d026,Andres Gomez,/en/players/andres-gomez/g023/overview,andres-gomez,g023,Ricardo Ycaza,/en/players/ricardo-ycaza/y007/overview,ricardo-ycaza,y007
1980-389,12,,Denver,389,denver,Denver,1980.02.18,1980,2,18,32,16,Indoor,Carpet,"$125,000",USD,125000,/en/scores/archive/denver/389/1980/results,Gene Mayer,/en/players/gene-mayer/m038/overview,gene-mayer,m038,Kevin Curren,/en/players/kevin-curren/c057/overview,kevin-curren,c057,Steve Denton,/en/players/steve-denton/d019/overview,steve-denton,d019
1980-355,13,,Salisbury WCT,355,salisbury,Salisbury,1980.02.19,1980,2,19,8,0,Indoor,Carpet,"$200,000",USD,200000,/en/scores/archive/salisbury/355/1980/results,Bjorn Borg,/en/players/bjorn-borg/b058/overview,bjorn-borg,b058,,,,,,,,
