2020-8888,1,ATP Cup,ATP Cup,8888,atp-cup,"Brisbane/Perth/Sydney, Australia",2020.01.03,2020,1,3,24,24,Outdoor,Hard,"$15,000,000",USD,15000000,/en/scores/archive/atp-cup/8888/2020/results,,,,,,,,,,,,
2021-499,1,ATP 250,Delray Beach,499,delray-beach,"Delray Beach, United States",2021.01.07,2021,1,7,28,16,Outdoor,Hard,"$418,195",USD,418195,/en/scores/archive/delray-beach/499/2021/results,Hubert Hurkacz,/en/players/hubert-hurkacz/hb71/overview,hubert-hurkacz,hb71,Ariel Behar,/en/players/ariel-behar/bd52/overview,ariel-behar,bd52,Gonzalo Escobar,/en/players/gonzalo-escobar/e661/overview,gonzalo-escobar,e661
2022-8888,1,ATP Cup,ATP Cup,8888,atp-cup,"Sydney, Australia",2022.01.01,2022,1,1,16,16,Outdoor,Hard,"$10,000,000",USD,10000000,/en/scores/archive/atp-cup/8888/2022/results,,,,,,,,,,,,
2022-8998,2,ATP 250,Adelaide International 1,8998,adelaide,"Adelaide, Australia",2022.01.03,2022,1,3,28,24,Outdoor,Hard,"$416,800",USD,416800,/en/scores/archive/adelaide/8998/2022/results,Gael Monfils,/en/players/gael-monfils/mc65/overview,gael-monfils,mc65,Rohan Bopanna,/en/players/rohan-bopanna/b757/overview,rohan-bopanna,b757,Ramkumar Ramanathan,/en/players/ramkumar-ramanathan/rb56/overview,ramkumar-ramanathan,rb56
2022-9665,3,ATP 250,Melbourne Summer Set,9665,melbourne,"Melbourne, Australia",2022.01.04,2022,1,4,28,24,Outdoor,Hard,"$521,000",USD,521000,/en/scores/archive/melbourne/9665/2022/results,Rafael Nadal,/en/players/rafael-nadal/n409/overview,rafael-nadal,n409,Wesley Koolhof,/en/players/wesley-koolhof/kc41/overview,wesley-koolhof,kc41,Neal Skupski,/en/players/neal-skupski/sl22/overview,neal-skupski,sl22
2022-9663,4,ATP 250,Sydney Tennis Classic,9663,sydney,"Sydney, Australia",2022.01.10,2022,1,10,28,24,Outdoor,Hard,"$521,000",USD,521000,/en/scores/archive/sydney/9663/2022/results,Aslan Karatsev,/en/players/aslan-karatsev/kc56/overview,aslan-karatsev,kc56,Filip Polasek,/en/players/filip-polasek/pa46/overview,filip-polasek,pa46,John Peers,/en/players/john-peers/pc96/overview,john-peers,pc96
2022-9667,5,ATP 250,Adelaide International 2,9667,adelaide,"Adelaide, Australia",2022.01.10,2022,1,10,28,24,Outdoor,Hard,"$493,875",USD,493875,/en/scores/archive/adelaide/9667/2022/results,Thanasi Kokkinakis,/en/players/thanasi-kokkinakis/kd46/overview,thanasi-kokkinakis,kd46,Wesley Koolhof,/en/players/wesley-koolhof/kc41/overview,wesley-koolhof,kc41,Neal Skupski,/en/players/neal-skupski/sl22/overview,neal-skupski,sl22
2022-580,6,Grand Slam,Australian Open,580,australian-open,"Melbourne, Australia",2022.01.17,2022,1,17,128,64,Outdoor,Hard,"A$33,784,200",AUD,33784200,/en/scores/archive/australian-open/580/2022/results,Rafael Nadal,/en/players/rafael-nadal/n409/overview,rafael-nadal,n409,Thanasi Kokkinakis,/en/players/thanasi-kokkinakis/kd46/overview,thanasi-kokkinakis,kd46,Nick Kyrgios,/en/players/nick-kyrgios/ke17/overview,nick-kyrgios,ke17
2022-9158,7,ATP 250,Cordoba Open,9158,cordoba,"Cordoba, Argentina",2022.01.31,2022,1,31,28,16,Outdoor,Clay,"$493,875",USD,493875,/en/scores/archive/cordoba/9158/2022/results,Albert Ramos-Vinolas,/en/players/albert-ramos-vinolas/r772/overview,albert-ramos-vinolas,r772,Santiago Gonzalez,/en/players/santiago-gonzalez/g551/overview,santiago-gonzalez,g551,Andres Molteni,/en/players/andres-molteni/me56/overview,andres-molteni,me56
2022-891,8,ATP 250,Tata Open Maharashtra,891,pune,"Pune, India",2022.01.31,2022,1,31,28,16,Outdoor,Hard,"$493,875",USD,493875,/en/scores/archive/pune/891/2022/results,Joao Sousa,/en/players/joao-sousa/sh90/overview,joao-sousa,sh90,Rohan Bopanna,/en/players/rohan-bopanna/b757/overview,rohan-bopanna,b757,Ramkumar Ramanathan,/en/players/ramkumar-ramanathan/rb56/overview,ramkumar-ramanathan,rb56
2022-375,9,ATP 250,Open Sud de France – Montpellier,375,montpellier,"Montpellier, France",2022.01.31,2022,1,31,28,16,Indoor,Hard,"€490,990",EUR,490990,/en/scores/archive/montpellier/375/2022/results,Alexander Bublik,/en/players/alexander-bublik/bk92/overview,alexander-bublik,bk92,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,Nicolas Mahut,/en/players/nicolas-mahut/m873/overview,nicolas-mahut,m873
2022-407,10,ATP 500,ABN AMRO Open,407,rotterdam,"Rotterdam, Netherlands",2022.02.07,2022,2,7,32,16,Indoor,Hard,"€1,349,070",EUR,1349070,/en/scores/archive/rotterdam/407/2022/results,Felix Auger-Aliassime,/en/players/felix-auger-aliassime/ag37/overview,felix-auger-aliassime,ag37,Robin Haase,/en/players/robin-haase/h756/overview,robin-haase,h756,Matwe Middelkoop,/en/players/matwe-middelkoop/mb88/overview,matwe-middelkoop,mb88
2022-424,11,ATP 250,Dallas Open,424,dallas,"Dallas, United States",2022.02.07,2022,2,7,28,16,Indoor,Hard,"$792,980",USD,792980,/en/scores/archive/dallas/424/2022/results,Reilly Opelka,/en/players/reilly-opelka/o522/overview,reilly-opelka,o522,Marcelo Arevalo,/en/players/marcelo-arevalo/a853/overview,marcelo-arevalo,a853,Jean-Julien Rojer,/en/players/jean-julien-rojer/r513/overview,jean-julien-rojer,r513
2022-506,12,ATP 250,Argentina Open,506,buenos-aires,"Buenos Aires, Argentina",2022.02.07,2022,2,7,28,16,Outdoor,Clay,"$686,700",USD,686700,/en/scores/archive/buenos-aires/506/2022/results,Casper Ruud,/en/players/casper-ruud/rh16/overview,casper-ruud,rh16,Santiago Gonzalez,/en/players/santiago-gonzalez/g551/overview,santiago-gonzalez,g551,Andres Molteni,/en/players/andres-molteni/me56/overview,andres-molteni,me56
2022-6932,13,ATP 500,Rio Open presented by Claro,6932,rio-de-janeiro,"Rio de Janeiro, Brazil",2022.02.14,2022,2,14,28,16,Outdoor,Clay,"$1,815,115",USD,1815115,/en/scores/archive/rio-de-janeiro/6932/2022/results,Carlos Alcaraz,/en/players/carlos-alcaraz/a0e2/overview,carlos-alcaraz,a0e2,Simone Bolelli,/en/players/simone-bolelli/ba98/overview,simone-bolelli,ba98,Fabio Fognini,/en/players/fabio-fognini/f510/overview,fabio-fognini,f510
2022-451,14,ATP 250,Qatar ExxonMobil Open,451,doha,"Doha, Qatar",2022.02.14,2022,2,14,28,16,Outdoor,Hard,"$1,176,595",USD,1176595,/en/scores/archive/doha/451/2022/results,Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,bd06,Wesley Koolhof,/en/players/wesley-koolhof/kc41/overview,wesley-koolhof,kc41,Neal Skupski,/en/players/neal-skupski/sl22/overview,neal-skupski,sl22
2022-499,15,ATP 250,Delray Beach Open by VITACOST.com,499,delray-beach,"Delray Beach, United States",2022.02.14,2022,2,14,28,16,Outdoor,Hard,"$664,275",USD,664275,/en/scores/archive/delray-beach/499/2022/results,Cameron Norrie,/en/players/cameron-norrie/n771/overview,cameron-norrie,n771,Marcelo Arevalo,/en/players/marcelo-arevalo/a853/overview,marcelo-arevalo,a853,Jean-Julien Rojer,/en/players/jean-julien-rojer/r513/overview,jean-julien-rojer,r513
2022-496,16,ATP 250,Open 13 Provence,496,marseille,"Marseille, France",2022.02.14,2022,2,14,28,16,Indoor,Hard,"€622,610",EUR,622610,/en/scores/archive/marseille/496/2022/results,Andrey Rublev,/en/players/andrey-rublev/re44/overview,andrey-rublev,re44,Denys Molchanov,/en/players/denys-molchanov/mf71/overview,denys-molchanov,mf71,Andrey Rublev,/en/players/andrey-rublev/re44/overview,andrey-rublev,re44
2022-495,17,ATP 500,Dubai Duty Free Tennis Championships,495,dubai,"Dubai, United Arab Emirates",2022.02.21,2022,2,21,32,16,Outdoor,Hard,"$2,949,665",USD,2949665,/en/scores/archive/dubai/495/2022/results,Andrey Rublev,/en/players/andrey-rublev/re44/overview,andrey-rublev,re44,Tim Puetz,/en/players/tim-puetz/pc68/overview,tim-puetz,pc68,Michael Venus,/en/players/michael-venus/v576/overview,michael-venus,v576
2022-807,18,ATP 500,Abierto Mexicano Telcel presentado por HSBC,807,acapulco,"Acapulco, Mexico",2022.02.21,2022,2,21,32,16,Outdoor,Hard,"$1,832,890",USD,1832890,/en/scores/archive/acapulco/807/2022/results,Rafael Nadal,/en/players/rafael-nadal/n409/overview,rafael-nadal,n409,Feliciano Lopez,/en/players/feliciano-lopez/l397/overview,feliciano-lopez,l397,Stefanos Tsitsipas,/en/players/stefanos-tsitsipas/te51/overview,stefanos-tsitsipas,te51
2022-8996,19,ATP 250,Chile Dove Men+Care Open,8996,santiago,"Santiago, Chile",2022.02.21,2022,2,21,28,16,Outdoor,Clay,"$546,340",USD,546340,/en/scores/archive/santiago/8996/2022/results,Pedro Martinez,/en/players/pedro-martinez/mo44/overview,pedro-martinez,mo44,Rafael Matos,/en/players/rafael-matos/mo41/overview,rafael-matos,mo41,Felipe Meligeni Alves,/en/players/felipe-meligeni-alves/mw75/overview,felipe-meligeni-alves,mw75
2022-404,20,Masters 1000,BNP Paribas Open,404,indian-wells,"Indian Wells, United States",2022.03.10,2022,3,10,96,32,Outdoor,Hard,"$9,554,920",USD,9554920,/en/scores/archive/indian-wells/404/2022/results,Taylor Fritz,/en/players/taylor-fritz/fb98/overview,taylor-fritz,fb98,John Isner,/en/players/john-isner/i186/overview,john-isner,i186,Jack Sock,/en/players/jack-sock/sm25/overview,jack-sock,sm25
2022-403,21,Masters 1000,Miami Open presented by Itau,403,miami,"Miami, United States",2022.03.23,2022,3,23,96,32,Outdoor,Hard,"$9,554,920",USD,9554920,/en/scores/archive/miami/403/2022/results,Carlos Alcaraz,/en/players/carlos-alcaraz/a0e2/overview,carlos-alcaraz,a0e2,Hubert Hurkacz,/en/players/hubert-hurkacz/hb71/overview,hubert-hurkacz,hb71,John Isner,/en/players/john-isner/i186/overview,john-isner,i186
