2021-7485-ms001-7-1-s0ag-sm37,antwerp,/en/scores/stats-centre/archive/2021/7485/ms001,s0ag,7,9,19,18,206,128,194,120,152,94,sm37,0,1,1,20,187,116,168,104,145,90
2021-7485-ms002-6-2-s0ag-hg86,antwerp,/en/scores/stats-centre/archive/2021/7485/ms002,s0ag,11,14,13,16,204,126,190,118,153,95,hg86,7,11,11,23,208,129,194,120,165,102
2021-7485-ms003-6-1-sm37-b0cd,antwerp,/en/scores/stats-centre/archive/2021/7485/ms003,sm37,10,11,15,15,185,114,169,105,141,87,b0cd,2,7,4,22,190,118,175,108,142,88
2021-7485-ms004-5-4-s0ag-rc91,antwerp,/en/scores/stats-centre/archive/2021/7485/ms004,s0ag,5,6,17,6,204,126,189,117,148,91,rc91,5,10,19,20,214,132,199,123,169,105
2021-7485-ms007-5-3-sm37-n0ae,antwerp,/en/scores/stats-centre/archive/2021/7485/ms007,sm37,7,10,12,7,193,119,172,106,144,89,n0ae,9,10,24,28,207,128,192,119,161,100
2021-7485-ms005-5-2-hg86-f724,antwerp,/en/scores/stats-centre/archive/2021/7485/ms005,hg86,12,19,19,11,213,132,200,124,155,96,f724,10,17,13,17,199,123,191,118,155,96
2021-7485-ms006-5-1-b0cd-dh50,antwerp,/en/scores/stats-centre/archive/2021/7485/ms006,b0cd,9,16,10,13,190,118,177,109,145,90,dh50,11,17,18,37,220,136,195,121,158,98
2021-7485-ms008-4-8-s0ag-m0ej,antwerp,/en/scores/stats-centre/archive/2021/7485/ms008,s0ag,14,19,10,11,207,128,195,121,152,94,m0ej,6,10,12,26,207,128,190,118,146,90
2021-7485-ms015-4-7-sm37-mc10,antwerp,/en/scores/stats-centre/archive/2021/7485/ms015,sm37,16,21,23,19,192,119,171,106,142,88,mc10,15,25,23,23,211,131,196,121,150,93
2021-7485-ms013-4-6-dh50-gd64,antwerp,/en/scores/stats-centre/archive/2021/7485/ms013,dh50,4,12,14,29,218,135,195,121,164,101,gd64,6,13,15,16,213,132,193,119,165,102
2021-7485-ms010-4-5-f724-bd06,antwerp,/en/scores/stats-centre/archive/2021/7485/ms010,f724,22,31,28,31,202,125,190,118,151,93,bd06,11,25,8,22,193,119,176,109,155,96
2021-7485-ms011-4-4-hg86-sl28,antwerp,/en/scores/stats-centre/archive/2021/7485/ms011,hg86,7,10,22,6,208,129,196,121,154,95,sl28,16,24,14,13,216,134,203,126,162,100
2021-7485-ms009-4-3-rc91-l987,antwerp,/en/scores/stats-centre/archive/2021/7485/ms009,rc91,18,22,30,22,217,134,201,124,169,105,l987,2,8,22,16,204,126,186,115,148,91
2021-7485-ms012-4-2-b0cd-v812,antwerp,/en/scores/stats-centre/archive/2021/7485/ms012,b0cd,7,7,6,7,188,116,179,111,144,89,v812,3,10,9,25,214,132,195,121,159,98
