year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1976,"South Orange, New Jersey",23.08.1976,GP,Outdoor: Clay,Draw: 32,,,$,R32,Barry Phillips-Moore (AUS),N/A,"W 6-0, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=707&y=1976&r=3&p=M047,South Orange,R32,0,John McEnroe,John McEnroe,United States,,,,,,,,,,,,,,,,,,,,,,,,,Barry Phillips-Moore,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1976,"South Orange, New Jersey",23.08.1976,GP,Outdoor: Clay,Draw: 32,,,$,R16,Onny Parun (NZL),N/A,"L 6-7, 1-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=707&y=1976&r=4&p=M047,South Orange,R16,0,Onny Parun,John McEnroe,United States,,,,,,,,,,,,,,,,,,,,,,,,,Onny Parun,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,
1977,"San Francisco, CA, U.S.A.",26.09.1977,GP,Indoor: Carpet,Draw: 64,,,$,R64,Sherwood Stewart (USA),N/A,"W 7-6, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=1977&r=2&p=M047,San Francisco,R64,0,John McEnroe,John McEnroe,United States,,,,,,,,,,,,,,,,,,,,,,,,,Sherwood Stewart,United States,,,,,,,,,,,,,,,,,,,,,,,,
1977,"San Francisco, CA, U.S.A.",26.09.1977,GP,Indoor: Carpet,Draw: 64,,,$,R32,Cliff Richey (USA),N/A,"W 6-2, 6-7, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=1977&r=3&p=M047,San Francisco,R32,0,John McEnroe,John McEnroe,United States,,,,,,,,,,,,,,,,,,,,,,,,,Cliff Richey,United States,,,,,,,,,,,,,,,,,,,,,,,,
1977,"San Francisco, CA, U.S.A.",26.09.1977,GP,Indoor: Carpet,Draw: 64,,,$,R16,Manuel Orantes (ESP),N/A,"W 6-4, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=1977&r=4&p=M047,San Francisco,R16,0,John McEnroe,John McEnroe,United States,,,,,,,,,,,,,,,,,,,,,,,,,Manuel Orantes,Spain,,,,,,,,,,,,,,,,,,,,,,,,
1977,"San Francisco, CA, U.S.A.",26.09.1977,GP,Indoor: Carpet,Draw: 64,,,$,Q,Butch Walts (USA),N/A,"L 3-6, 7-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=1977&r=5&p=M047,San Francisco,Q,0,Butch Walts,John McEnroe,United States,,,,,,,,,,,,,,,,,,,,,,,,,Butch Walts,United States,,,,,,,,,,,,,,,,,,,,,,,,
1977,"Los Angeles, Los Angeles, CA, USA",19.09.1977,GP,Outdoor: Hard,Draw: 64,,,$,R64,Frew McMillan (RSA),N/A,"W 6-2, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2006&y=1977&r=2&p=M047,Los Angeles,R64,0,John McEnroe,John McEnroe,United States,,,,,,,,,,,,,,,,,,,,,,,,,Frew McMillan,South Africa,,,,,,,,,,,,,,,,,,,,,,,,
1977,"Los Angeles, Los Angeles, CA, USA",19.09.1977,GP,Outdoor: Hard,Draw: 64,,,$,R32,Eliot Teltscher (USA),N/A,"L 4-6, 7-6, 5-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2006&y=1977&r=3&p=M047,Los Angeles,R32,0,Eliot Teltscher,John McEnroe,United States,,,,,,,,,,,,,,,,,,,,,,,,,Eliot Teltscher,United States,,,,,,,,,,,,,,,,,,,,,,,,
1977,"US Open, NY, U.S.A.",31.08.1977,GS,Outdoor: Clay,Draw: 128,,,$,R128,Eliot Teltscher (USA),N/A,"W 6-1, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1977&r=1&p=M047,US Open,R128,0,John McEnroe,John McEnroe,United States,,,,,,,,,,,,,,,,,,,,,,,,,Eliot Teltscher,United States,,,,,,,,,,,,,,,,,,,,,,,,
1977,"US Open, NY, U.S.A.",31.08.1977,GS,Outdoor: Clay,Draw: 128,,,$,R64,Hans Gildemeister (CHI),N/A,"W 7-5, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1977&r=2&p=M047,US Open,R64,0,John McEnroe,John McEnroe,United States,,,,,,,,,,,,,,,,,,,,,,,,,Hans Gildemeister,Chile,,,,,,,,,,,,,,,,,,,,,,,,
1977,"US Open, NY, U.S.A.",31.08.1977,GS,Outdoor: Clay,Draw: 128,,,$,R32,Eddie Dibbs (USA),N/A,"W 6-2, 4-6, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1977&r=3&p=M047,US Open,R32,0,John McEnroe,John McEnroe,United States,,,,,,,,,,,,,,,,,,,,,,,,,Eddie Dibbs,United States,,,,,,,,,,,,,,,,,,,,,,,,
1977,"US Open, NY, U.S.A.",31.08.1977,GS,Outdoor: Clay,Draw: 128,,,$,R16,Manuel Orantes (ESP),N/A,"L 2-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1977&r=4&p=M047,US Open,R16,0,Manuel Orantes,John McEnroe,United States,,,,,,,,,,,,,,,,,,,,,,,,,Manuel Orantes,Spain,,,,,,,,,,,,,,,,,,,,,,,,
1977,"Boston, MA, U.S.A.",23.08.1977,GP,Outdoor: Clay,Draw: 64,,,$,R64,Christophe Roger-Vasselin (FRA),N/A,"W 6-3, 6-0",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=417&y=1977&r=2&p=M047,Boston,R64,0,John McEnroe,John McEnroe,United States,,,,,,,,,,,,,,,,,,,,,,,,,Christophe Roger-Vasselin,France,,,,,,,,,,,,,,,,,,,,,,,,
1977,"Boston, MA, U.S.A.",23.08.1977,GP,Outdoor: Clay,Draw: 64,,,$,R32,Jimmy Connors (USA),N/A,"L 7-5, 2-6, 5-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=417&y=1977&r=3&p=M047,Boston,R32,0,Jimmy Connors,John McEnroe,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,
