year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
2001,"Seville, Spain",17.09.2001,CH,Outdoor: Clay,Draw: 32,5,,$650,R32,Israel Matos Gil (ESP),751,"W 6-4, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=784&y=2001&r=3&p=N409,Seville,R32,0,Rafael Nadal,Rafael Nadal,Spain,,,,,,,,,,,,,,,,,,,,,,,,,Israel Matos Gil,Spain,,,,,,,,,,,,,,,,,,,,,,,,
2001,"Seville, Spain",17.09.2001,CH,Outdoor: Clay,Draw: 32,5,,$650,R16,Stefano Galvani (ITA),161,"L 6-3, 1-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=784&y=2001&r=4&p=N409,Seville,R16,0,Stefano Galvani,Rafael Nadal,Spain,,,,,,,,,,,,,,,,,,,,,,,,,Stefano Galvani,Italy,,,,,,,,,,,,,,,,,,,,,,,,
2001,"Spain F10, Madrid",10.09.2001,FU,Outdoor: Hard,Draw: 32,,,$117,R32,Guillermo Platel (ESP),731,"L 6-2, 5-7, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=389&y=2001&r=3&p=N409,Spain F10,R32,0,Guillermo Platel,Rafael Nadal,Spain,,,,,,,,,,,,,,,,,,,,,,,,,Guillermo Platel,Spain,,,,,,,,,,,,,,,,,,,,,,,,
2002,"Spain F20, Gran Canaria",25.11.2002,FU,Outdoor: Carpet,Draw: 32,18,238,"$1,950",R32,Roberto Menendez (ESP),390,"W 6-1, 4-6, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1591&y=2002&r=3&p=N409,Spain F20,R32,0,Rafael Nadal,Rafael Nadal,Spain,,,,,,,,,,,,,,,,,,,,,,,,,Roberto Menendez,Spain,,,,,,,,,,,,,,,,,,,,,,,,
2002,"Spain F20, Gran Canaria",25.11.2002,FU,Outdoor: Carpet,Draw: 32,18,238,"$1,950",R16,Andreas Kauntz (GER),"1,092","W 6-3, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1591&y=2002&r=4&p=N409,Spain F20,R16,0,Rafael Nadal,Rafael Nadal,Spain,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Kauntz,Germany,,,,,,,,,,,,,,,,,,,,,,,,
2002,"Spain F20, Gran Canaria",25.11.2002,FU,Outdoor: Carpet,Draw: 32,18,238,"$1,950",Q,Stephane Robert (FRA),345,"W 6-3, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1591&y=2002&r=5&p=N409,Spain F20,Q,0,Rafael Nadal,Rafael Nadal,Spain,,,,,,,,,,,,,,,,,,,,,,,,,Stephane Robert,France,,,,,,,,,,,,,,,,,,,,,,,,
2002,"Spain F20, Gran Canaria",25.11.2002,FU,Outdoor: Carpet,Draw: 32,18,238,"$1,950",S,Tomas Tenconi (ITA),361,"W 6-4, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1591&y=2002&r=6&p=N409,Spain F20,S,0,Rafael Nadal,Rafael Nadal,Spain,,,,,,,,,,,,,,,,,,,,,,,,,Tomas Tenconi,Italy,,,,,,,,,,,,,,,,,,,,,,,,
2002,"Spain F20, Gran Canaria",25.11.2002,FU,Outdoor: Carpet,Draw: 32,18,238,"$1,950",W,Florian Mayer (GER),474,"W 7-6(3), 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1591&y=2002&r=7&p=N409,Spain F20,F,0,Rafael Nadal,Rafael Nadal,Spain,,,,,,,,,,,,,,,,,,,,,,,,,Florian Mayer,Germany,,,,,,,,,,,,,,,,,,,,,,,,
2002,"Spain F19, Gran Canaria",18.11.2002,FU,Outdoor: Clay,Draw: 32,18,235,"$1,950",R32,Ferran Ventura-Martell (ESP),444,"W 6-4, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1590&y=2002&r=3&p=N409,Spain F19,R32,0,Rafael Nadal,Rafael Nadal,Spain,,,,,,,,,,,,,,,,,,,,,,,,,Ferran Ventura-Martell,Spain,,,,,,,,,,,,,,,,,,,,,,,,
2002,"Spain F19, Gran Canaria",18.11.2002,FU,Outdoor: Clay,Draw: 32,18,235,"$1,950",R16,Timo Nieminen (FIN),380,"W 6-1, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1590&y=2002&r=4&p=N409,Spain F19,R16,0,Rafael Nadal,Rafael Nadal,Spain,,,,,,,,,,,,,,,,,,,,,,,,,Timo Nieminen,Finland,,,,,,,,,,,,,,,,,,,,,,,,
