year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1998,"Basel, Switzerland",05.10.1998,WS,Indoor: Hard,Draw: 32,1,396,"$9,800",R32,Andre Agassi (USA),8,"L 3-6, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=1998&r=3&p=F324,Basel,R32,60,Andre Agassi,Roger Federer,Switzerland,4,2,31,53,20,31,7,22,4,8,8,5,24,9,26,1,2,9,27,53,14,50,41,103,Andre Agassi,United States,4,1,24,50,19,24,17,26,1,2,9,11,31,15,22,4,8,8,36,50,26,53,62,103
1998,"Toulouse, France",28.09.1998,WS,Indoor: Hard,Draw: 32,59,878,"$10,800",R32,Guillaume Raoux (FRA),45,"W 6-2, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=327&y=1998&r=3&p=F324,Toulouse,R32,60,Roger Federer,Roger Federer,Switzerland,8,0,22,41,18,22,15,19,1,1,8,14,36,18,29,4,8,8,33,41,32,65,65,106,Guillaume Raoux,France,0,0,36,65,22,36,11,29,4,8,8,4,22,4,19,0,1,8,33,65,8,41,41,106
1998,"Toulouse, France",28.09.1998,WS,Indoor: Hard,Draw: 32,59,878,"$10,800",R16,Richard Fromberg (AUS),43,"W 6-1, 7-6(5)",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=327&y=1998&r=4&p=F324,Toulouse,R16,85,Roger Federer,Roger Federer,Switzerland,8,3,43,73,32,43,18,30,4,4,10,9,39,20,36,2,10,9,50,73,29,75,79,148,Richard Fromberg,Australia,9,4,39,75,30,39,16,36,8,10,9,11,43,12,30,0,4,10,46,75,23,73,69,148
1998,"Toulouse, France",28.09.1998,WS,Indoor: Hard,Draw: 32,59,878,"$10,800",Q,Jan Siemerink (NED),20,"L 6-7(5), 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=327&y=1998&r=5&p=F324,Toulouse,Q,79,Jan Siemerink,Roger Federer,Switzerland,3,6,39,67,27,39,14,28,7,10,10,8,43,11,20,1,5,10,41,67,19,63,60,130,Jan Siemerink,Netherlands,5,1,43,63,35,43,9,20,4,5,10,12,39,14,28,3,10,10,44,63,26,67,70,130
1998,"Geneva, Switzerland",24.08.1998,CH,Outdoor: Clay,Draw: 32,1,680,$520,R32,Orlin Stanoytchev (BUL),124,"L 4-6, 6-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=471&y=1998&r=3&p=F324,Geneva,R32,0,Orlin Stanoytchev,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Orlin Stanoytchev,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Gstaad, Switzerland",06.07.1998,WS,Outdoor: Clay,Draw: 32,1,702,"$5,250",R32,Lucas Arnold Ker (ARG),88,"L 4-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=314&y=1998&r=3&p=F324,Gstaad,R32,80,Lucas Arnold Ker,Roger Federer,Switzerland,1,3,36,74,24,36,15,38,1,5,10,17,46,7,16,2,3,10,39,74,24,62,63,136,Lucas Arnold Ker,Argentina,1,1,46,62,29,46,9,16,1,3,10,12,36,23,38,4,5,10,38,62,35,74,73,136
1999,"Brest, France",25.10.1999,CH,Indoor: Hard,Draw: 32,78,66,"$14,400",R32,Lionel Roux (FRA),191,"W 6-3, 4-6, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=453&y=1999&r=3&p=F324,Brest,R32,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Lionel Roux,France,,,,,,,,,,,,,,,,,,,,,,,,
1999,"Brest, France",25.10.1999,CH,Indoor: Hard,Draw: 32,78,66,"$14,400",R16,Rodolphe Gilbert (FRA),180,"W 6-4, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=453&y=1999&r=4&p=F324,Brest,R16,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Rodolphe Gilbert,France,,,,,,,,,,,,,,,,,,,,,,,,
1999,"Brest, France",25.10.1999,CH,Indoor: Hard,Draw: 32,78,66,"$14,400",Q,Michael Llodra (FRA),333,"W 6-3, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=453&y=1999&r=5&p=F324,Brest,Q,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Michael Llodra,France,,,,,,,,,,,,,,,,,,,,,,,,
1999,"Brest, France",25.10.1999,CH,Indoor: Hard,Draw: 32,78,66,"$14,400",S,Martin Damm (CZE),134,"W 6-3, 7-6(4)",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=453&y=1999&r=6&p=F324,Brest,S,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Martin Damm,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,
