tourney_year,tourney_name,tourney_name_slug,tourney_id,tourney_location,tourney_dates,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,player_name,player_slug,player_id,player_event_points,player_ranking,match_round,opponent_name,opponent_name_slug,opponent_player_id,opponent_rank,match_win_loss,match_score,sets_won,sets_lost,sets_total,games_won,games_lost,games_total,tiebreaks_won,tiebreaks_lost,tiebreaks_total,match_time,match_duration,player_aces,player_double_faults,player_first_serves_in,player_first_serves_total,player_first_serve_points_won,player_first_serve_points_total,player_second_serve_points_won,player_second_serve_points_total,player_break_points_saved,player_break_points_serve_total,player_service_points_won,player_service_points_total,player_first_serve_return_won,player_first_serve_return_total,player_second_serve_return_won,player_second_serve_return_total,player_break_points_converted,player_break_points_return_total,player_service_games_played,player_return_games_played,player_return_points_won,player_return_points_total,player_total_points_won,player_total_points_total,opponent_aces,opponent_double_faults,opponent_first_serves_in,opponent_first_serves_total,opponent_first_serve_points_won,opponent_first_serve_points_total,opponent_second_serve_points_won,opponent_second_serve_points_total,opponent_break_points_saved,opponent_break_points_serve_total,opponent_service_points_won,opponent_service_points_total,opponent_first_serve_return_won,opponent_first_serve_return_total,opponent_second_serve_return_won,opponent_second_serve_return_total,opponent_break_points_converted,opponent_break_points_return_total,opponent_service_games_played,opponent_return_games_played,opponent_return_points_won,opponent_return_points_total,opponent_total_points_won,opponent_total_points_total
1986,Houston,,,"Houston, TX, U.S.A.",1986.11.17 - 1986.11.23,32,16,Indoor,Carpet,Andre Agassi,andre-agassi,a092,11,102,Round of 16,Bill Scanlon,bill-scanlon,s017,107,L,16 36,0,2,2,4,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,Houston,,,"Houston, TX, U.S.A.",1986.11.17 - 1986.11.23,32,16,Indoor,Carpet,Andre Agassi,andre-agassi,a092,11,102,Round of 32,Glenn Michibata,glenn-michibata,m064,147,W,63 62,2,0,2,12,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,Tokyo Outdoor,tokyo,329,"Tokyo, Japan",1986.10.13 - 1986.10.19,64,32,Outdoor,Hard,Andre Agassi,andre-agassi,a092,1,100,Round of 64,Jimmy Arias,jimmy-arias,a031,38,L,46 26,0,2,2,6,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,Scottsdale,,,"Scottsdale, AZ, U.S.A.",1986.10.06 - 1986.10.12,32,16,Outdoor,Hard,Andre Agassi,andre-agassi,a092,1,101,Round of 32,Glenn Layendecker,glenn-layendecker,l010,104,L,46 67,0,2,2,10,13,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,West Palm,,,"West Palm, FL, U.S.A.",1986.09.22 - 1986.09.28,32,16,Outdoor,Clay,Andre Agassi,andre-agassi,a092,4,105,Round of 16,Derek Tarr,derek-tarr,t008,200,L,46 62 06,1,2,3,10,14,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,West Palm,,,"West Palm, FL, U.S.A.",1986.09.22 - 1986.09.28,32,16,Outdoor,Clay,Andre Agassi,andre-agassi,a092,4,105,Round of 32,John Ross,john-ross,r042,727,W,63 57 63,2,1,3,17,13,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,US Open,us-open,560,"New York, NY, U.S.A.",1986.08.25 - 1986.09.07,128,64,Outdoor,Hard,Andre Agassi,andre-agassi,a092,1,105,Round of 128,Jeremy Bates,jeremy-bates,b021,128,L,67 36 64 46,1,3,4,19,23,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,New Haven,,,"New Haven, CT, U.S.A.",1986.08.11 - 1986.08.17,32,16,Outdoor,Hard,Andre Agassi,andre-agassi,a092,4,105,Round of 16,Tomm Warneke,tomm-warneke,w009,221,L,26 26,0,2,2,4,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,New Haven,,,"New Haven, CT, U.S.A.",1986.08.11 - 1986.08.17,32,16,Outdoor,Hard,Andre Agassi,andre-agassi,a092,4,105,Round of 32,Brett Dickinson,brett-dickinson,d027,263,W,26 62 75,2,1,3,15,13,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,Stratton Mountain,,,"Stratton Mountain, VT, U.S.A.",1986.08.04 - 1986.08.10,64,32,Outdoor,Hard,Andre Agassi,andre-agassi,a092,54,211,Quarter-Finals,John McEnroe,john-mcenroe,m047,7,L,36 36,0,2,2,6,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
