year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1988,"Detroit, MI, U.S.A.",14.11.1988,GP,Indoor: Carpet,Draw: 32,52,127,"$8,478",R32,Bill Scanlon (USA),201,"W 6-7, 6-3, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=437&y=1988&r=3&p=S402,Detroit,R32,0,Pete Sampras,Pete Sampras,United States,,,,,,,,,,,,,,,,,,,,,,,,,Bill Scanlon,United States,,,,,,,,,,,,,,,,,,,,,,,,
1988,"Detroit, MI, U.S.A.",14.11.1988,GP,Indoor: Carpet,Draw: 32,52,127,"$8,478",R16,Tim Mayotte (USA),8,"W 6-3, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=437&y=1988&r=4&p=S402,Detroit,R16,0,Pete Sampras,Pete Sampras,United States,,,,,,,,,,,,,,,,,,,,,,,,,Tim Mayotte,United States,,,,,,,,,,,,,,,,,,,,,,,,
1988,"Detroit, MI, U.S.A.",14.11.1988,GP,Indoor: Carpet,Draw: 32,52,127,"$8,478",Q,Leif Shiras (USA),133,"L 4-6, 6-1, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=437&y=1988&r=5&p=S402,Detroit,Q,0,Leif Shiras,Pete Sampras,United States,,,,,,,,,,,,,,,,,,,,,,,,,Leif Shiras,United States,,,,,,,,,,,,,,,,,,,,,,,,
1988,"Scottsdale, AZ, U.S.A.",03.10.1988,GP,Outdoor: Hard,Draw: 32,16,157,"$4,611",R32,Jim Courier (USA),79,"W 6-3, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=433&y=1988&r=3&p=S402,Scottsdale,R32,0,Pete Sampras,Pete Sampras,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jim Courier,United States,,,,,,,,,,,,,,,,,,,,,,,,
1988,"Scottsdale, AZ, U.S.A.",03.10.1988,GP,Outdoor: Hard,Draw: 32,16,157,"$4,611",R16,Kevin Curren (USA),23,"L 7-6, 6-7, 6-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=433&y=1988&r=4&p=S402,Scottsdale,R16,0,Kevin Curren,Pete Sampras,United States,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Curren,United States,,,,,,,,,,,,,,,,,,,,,,,,
1988,"Los Angeles, CA, U.S.A.",19.09.1988,GP,Outdoor: Hard,Draw: 32,14,190,"$4,611",R32,Peter Doohan (AUS),184,"W 3-6, 6-3, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1988&r=3&p=S402,Los Angeles,R32,0,Pete Sampras,Pete Sampras,United States,,,,,,,,,,,,,,,,,,,,,,,,,Peter Doohan,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1988,"Los Angeles, CA, U.S.A.",19.09.1988,GP,Outdoor: Hard,Draw: 32,14,190,"$4,611",R16,David Pate (USA),32,"L 3-6, 6-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1988&r=4&p=S402,Los Angeles,R16,0,David Pate,Pete Sampras,United States,,,,,,,,,,,,,,,,,,,,,,,,,David Pate,United States,,,,,,,,,,,,,,,,,,,,,,,,
1988,"US Open, NY, U.S.A.",29.08.1988,GS,Outdoor: Hard,Draw: 128,1,188,"$3,386",R128,Jaime Yzaga (PER),69,"L 7-6, 7-6, 4-6, 5-7, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1988&r=1&p=S402,US Open,R128,0,Jaime Yzaga,Pete Sampras,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jaime Yzaga,Peru,,,,,,,,,,,,,,,,,,,,,,,,
1988,"Rye Brook, NY, U.S.A.",22.08.1988,GP,Outdoor: Hard,Draw: 32,13,206,"$1,447",R32,Michiel Schapers (NED),39,"W 7-5, 7-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=435&y=1988&r=3&p=S402,Rye Brook,R32,0,Pete Sampras,Pete Sampras,United States,,,,,,,,,,,,,,,,,,,,,,,,,Michiel Schapers,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,
1988,"Rye Brook, NY, U.S.A.",22.08.1988,GP,Outdoor: Hard,Draw: 32,13,206,"$1,447",R16,Jeremy Bates (GBR),92,"L 7-6, 3-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=435&y=1988&r=4&p=S402,Rye Brook,R16,0,Jeremy Bates,Pete Sampras,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy Bates,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,
