year, tourney_name, tourney_slug, tourney_id, tourney_location, tourney_dates, tourney_singles_draw, tourney_doubles_draw, tourney_conditions, tourney_surface, tourney_singles_winner_name, tourney_singles_winner_slug, tourney_singles_winner_player_id, tourney_doubles_winner1_name, tourney_doubles_winner1_slug, tourney_doubles_winner1_player_id, tourney_doubles_winner2_name, tourney_doubles_winner2_slug, tourney_doubles_winner2_player_id, tourney_round_name, winner_name, winner_slug, winner_player_id, loser_name, loser_slug, loser_player_id, match_score, games_total, sets_total, tiebreaks_total, winner_games_won, winner_games_lost, winner_sets_won, winner_sets_lost, winner_tiebreaks_won, winner_tiebreaks_lost, loser_games_won, loser_games_lost, loser_sets_won, loser_sets_lost, loser_tiebreaks_won, loser_tiebreaks_lost
2016,Brisbane International presented by Suncorp,brisbane,339,"Brisbane, Australia",2016.01.04,28,28,Outdoor,Hard,Milos Raonic,milos-raonic,r975,Henri Kontinen,henri-kontinen,ka80,John Peers,john-peers,pc96,Finals,Milos Raonic,milos-raonic,r975,Roger Federer,roger-federer,f324,64 64,20,2,,12,8,2,0,,,8,12,0,2,,
2016,Brisbane International presented by Suncorp,brisbane,339,"Brisbane, Australia",2016.01.04,28,28,Outdoor,Hard,Milos Raonic,milos-raonic,r975,Henri Kontinen,henri-kontinen,ka80,John Peers,john-peers,pc96,Semi-Finals,Roger Federer,roger-federer,f324,Dominic Thiem,dominic-thiem,tb69,61 64,17,2,,12,5,2,0,,,5,12,0,2,,
2016,Brisbane International presented by Suncorp,brisbane,339,"Brisbane, Australia",2016.01.04,28,28,Outdoor,Hard,Milos Raonic,milos-raonic,r975,Henri Kontinen,henri-kontinen,ka80,John Peers,john-peers,pc96,Semi-Finals,Milos Raonic,milos-raonic,r975,Bernard Tomic,bernard-tomic,ta46,76(5) 76(5) ,26,2,2,14,12,2,0,2,0,12,14,0,2,0,2
2016,Brisbane International presented by Suncorp,brisbane,339,"Brisbane, Australia",2016.01.04,28,28,Outdoor,Hard,Milos Raonic,milos-raonic,r975,Henri Kontinen,henri-kontinen,ka80,John Peers,john-peers,pc96,Quarter-Finals,Roger Federer,roger-federer,f324,Grigor Dimitrov,grigor-dimitrov,d875,64 67(4) 64,33,3,1,18,15,2,1,0,1,15,18,1,2,1,0
2016,Brisbane International presented by Suncorp,brisbane,339,"Brisbane, Australia",2016.01.04,28,28,Outdoor,Hard,Milos Raonic,milos-raonic,r975,Henri Kontinen,henri-kontinen,ka80,John Peers,john-peers,pc96,Quarter-Finals,Bernard Tomic,bernard-tomic,ta46,Kei Nishikori,kei-nishikori,n552,63 16 63,25,3,,13,12,2,1,,,12,13,1,2,,
2016,Brisbane International presented by Suncorp,brisbane,339,"Brisbane, Australia",2016.01.04,28,28,Outdoor,Hard,Milos Raonic,milos-raonic,r975,Henri Kontinen,henri-kontinen,ka80,John Peers,john-peers,pc96,Quarter-Finals,Dominic Thiem,dominic-thiem,tb69,Marin Cilic,marin-cilic,c977,26 76(4) 64,31,3,1,15,16,2,1,1,0,16,15,1,2,0,1
2016,Brisbane International presented by Suncorp,brisbane,339,"Brisbane, Australia",2016.01.04,28,28,Outdoor,Hard,Milos Raonic,milos-raonic,r975,Henri Kontinen,henri-kontinen,ka80,John Peers,john-peers,pc96,Quarter-Finals,Milos Raonic,milos-raonic,r975,Lucas Pouille,lucas-pouille,pf39,64 64,20,2,,12,8,2,0,,,8,12,0,2,,
2016,Brisbane International presented by Suncorp,brisbane,339,"Brisbane, Australia",2016.01.04,28,28,Outdoor,Hard,Milos Raonic,milos-raonic,r975,Henri Kontinen,henri-kontinen,ka80,John Peers,john-peers,pc96,Round of 16,Roger Federer,roger-federer,f324,Tobias Kamke,tobias-kamke,k839,62 61,15,2,,12,3,2,0,,,3,12,0,2,,
2016,Brisbane International presented by Suncorp,brisbane,339,"Brisbane, Australia",2016.01.04,28,28,Outdoor,Hard,Milos Raonic,milos-raonic,r975,Henri Kontinen,henri-kontinen,ka80,John Peers,john-peers,pc96,Round of 16,Kei Nishikori,kei-nishikori,n552,Mikhail Kukushkin,mikhail-kukushkin,k926,63 64,19,2,,12,7,2,0,,,7,12,0,2,,
2016,Brisbane International presented by Suncorp,brisbane,339,"Brisbane, Australia",2016.01.04,28,28,Outdoor,Hard,Milos Raonic,milos-raonic,r975,Henri Kontinen,henri-kontinen,ka80,John Peers,john-peers,pc96,Round of 16,Marin Cilic,marin-cilic,c977,Hyeon Chung,hyeon-chung,ch27,75 76(3) ,25,2,1,14,11,2,0,1,0,11,14,0,2,0,1
