year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
2005,"Basel, Switzerland",24.10.2005,WS,Indoor: Carpet,Draw: 32,60,70,"$29,000",R32,Tim Henman (GBR),28,"W 6-2, 5-7, 7-6(4)",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2005&r=3&p=MC10,Basel,R32,134,Andy Murray,Andy Murray,Great Britain,6,2,53,94,44,53,17,41,1,4,16,14,50,23,47,4,7,16,61,94,37,97,98,191,Tim Henman,Great Britain,7,1,50,97,36,50,24,47,3,7,16,9,53,24,41,3,4,16,60,97,33,94,93,191
2005,"Basel, Switzerland",24.10.2005,WS,Indoor: Carpet,Draw: 32,60,70,"$29,000",R16,Tomas Berdych (CZE),52,"W 6-4, 2-6, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2005&r=4&p=MC10,Basel,R16,115,Andy Murray,Andy Murray,Great Britain,11,4,60,114,44,60,25,54,9,11,14,7,44,16,29,2,4,14,69,114,23,73,92,187,Tomas Berdych,Czech Republic,10,4,44,73,37,44,13,29,2,4,14,16,60,29,54,2,11,14,50,73,45,114,95,187
2005,"Basel, Switzerland",24.10.2005,WS,Indoor: Carpet,Draw: 32,60,70,"$29,000",Q,Fernando Gonzalez (CHI),17,"L 4-6, 6-3, 1-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2005&r=5&p=MC10,Basel,Q,86,Fernando Gonzalez,Andy Murray,Great Britain,8,2,50,85,36,50,19,35,10,13,13,2,30,15,37,1,1,13,55,85,17,67,72,152,Fernando Gonzalez,Chile,15,6,30,67,28,30,22,37,0,1,13,14,50,16,35,3,13,13,50,67,30,85,80,152
2005,"Mons, Belgium",03.10.2005,CH,Indoor: Carpet,Draw: 32,21,72,"$3,650",R32,Ivo Heuberger (SUI),192,"W 6-4, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=3350&y=2005&r=3&p=MC10,Mons,R32,0,Andy Murray,Andy Murray,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,,Ivo Heuberger,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Mons, Belgium",03.10.2005,CH,Indoor: Carpet,Draw: 32,21,72,"$3,650",R16,Gregory Carraz (FRA),152,"W 7-5, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=3350&y=2005&r=4&p=MC10,Mons,R16,0,Andy Murray,Andy Murray,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,,Gregory Carraz,France,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Mons, Belgium",03.10.2005,CH,Indoor: Carpet,Draw: 32,21,72,"$3,650",Q,Xavier Malisse (BEL),42,"L 5-7, 0-1 RET",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=3350&y=2005&r=5&p=MC10,Mons,Q,0,Xavier Malisse,Andy Murray,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,,Xavier Malisse,Belgium,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Bangkok, Thailand",26.09.2005,WS,Indoor: Hard,Draw: 32,120,109,"$45,000",R32,George Bastl (SUI),124,"W 6-2, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2005&r=3&p=MC10,Bangkok,R32,88,Andy Murray,Andy Murray,Great Britain,7,3,26,55,22,26,14,29,1,2,9,20,46,16,26,4,13,9,36,55,36,72,72,127,George Bastl,Switzerland,2,2,46,72,26,46,10,26,9,13,9,4,26,15,29,1,2,9,36,72,19,55,55,127
2005,"Bangkok, Thailand",26.09.2005,WS,Indoor: Hard,Draw: 32,120,109,"$45,000",R16,Robin Soderling (SWE),41,"W 7-6(3), 7-6(5)",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2005&r=4&p=MC10,Bangkok,R16,113,Andy Murray,Andy Murray,Great Britain,6,4,38,95,32,38,29,57,4,7,12,16,60,20,32,3,10,12,61,95,36,92,97,187,Robin Soderling,Sweden,10,5,60,92,44,60,12,32,7,10,12,6,38,28,57,3,7,12,56,92,34,95,90,187
2005,"Bangkok, Thailand",26.09.2005,WS,Indoor: Hard,Draw: 32,120,109,"$45,000",Q,Robby Ginepri (USA),21,"W 4-6, 6-4, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2005&r=5&p=MC10,Bangkok,Q,77,Andy Murray,Andy Murray,Great Britain,10,1,35,72,27,35,23,37,1,3,14,17,62,15,27,4,7,15,50,72,32,89,82,161,Robby Ginepri,United States,8,5,62,89,45,62,12,27,3,7,15,8,35,14,37,2,3,14,57,89,22,72,79,161
2005,"Bangkok, Thailand",26.09.2005,WS,Indoor: Hard,Draw: 32,120,109,"$45,000",S,Paradorn Srichaphan (THA),57,"W 6-7(3), 7-5, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2005&r=6&p=MC10,Bangkok,S,161,Andy Murray,Andy Murray,Great Britain,8,5,53,113,42,53,31,60,5,6,16,18,62,26,50,4,6,16,73,113,44,112,117,225,Paradorn Srichaphan,Thailand,8,3,62,112,44,62,24,50,2,6,16,11,53,29,60,1,6,16,68,112,40,113,108,225
