tourney_year,tourney_name,tourney_name_slug,tourney_id,tourney_location,tourney_dates,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,player_name,player_slug,player_id,player_event_points,player_ranking,match_round,opponent_name,opponent_name_slug,opponent_player_id,opponent_rank,match_win_loss,match_score,sets_won,sets_lost,sets_total,games_won,games_lost,games_total,tiebreaks_won,tiebreaks_lost,tiebreaks_total,match_time,match_duration,player_aces,player_double_faults,player_first_serves_in,player_first_serves_total,player_first_serve_points_won,player_first_serve_points_total,player_second_serve_points_won,player_second_serve_points_total,player_break_points_saved,player_break_points_serve_total,player_service_points_won,player_service_points_total,player_first_serve_return_won,player_first_serve_return_total,player_second_serve_return_won,player_second_serve_return_total,player_break_points_converted,player_break_points_return_total,player_service_games_played,player_return_games_played,player_return_points_won,player_return_points_total,player_total_points_won,player_total_points_total,opponent_aces,opponent_double_faults,opponent_first_serves_in,opponent_first_serves_total,opponent_first_serve_points_won,opponent_first_serve_points_total,opponent_second_serve_points_won,opponent_second_serve_points_total,opponent_break_points_saved,opponent_break_points_serve_total,opponent_service_points_won,opponent_service_points_total,opponent_first_serve_return_won,opponent_first_serve_return_total,opponent_second_serve_return_won,opponent_second_serve_return_total,opponent_break_points_converted,opponent_break_points_return_total,opponent_service_games_played,opponent_return_games_played,opponent_return_points_won,opponent_return_points_total,opponent_total_points_won,opponent_total_points_total
2001,Seville,,,"Seville, Spain",2001.09.17 - 2001.09.23,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,5,0,Round of 16,Stefano Galvani,stefano-galvani,g372,161,L,63 16 36,1,2,3,10,15,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Seville,,,"Seville, Spain",2001.09.17 - 2001.09.23,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,5,0,Round of 32,Israel Matos Gil,israel-matos-gil,m934,751,W,64 64,2,0,2,12,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Spain F10,,,"Madrid, Spain",2001.09.10 - 2001.09.16,32,16,Outdoor,Hard,Rafael Nadal,rafael-nadal,n409,0,0,Round of 32,Guillermo Platel,guillermo-platel,p416,731,L,62 57 26,1,2,3,13,15,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F20,,,"Gran Canaria, Spain",2002.11.25 - 2002.12.01,32,16,Outdoor,Carpet,Rafael Nadal,rafael-nadal,n409,18,238,Finals,Florian Mayer,florian-mayer,mb02,474,W,76(3) 64,2,0,2,13,10,23,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F20,,,"Gran Canaria, Spain",2002.11.25 - 2002.12.01,32,16,Outdoor,Carpet,Rafael Nadal,rafael-nadal,n409,18,238,Semi-Finals,Tomas Tenconi,tomas-tenconi,t332,361,W,64 62,2,0,2,12,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F20,,,"Gran Canaria, Spain",2002.11.25 - 2002.12.01,32,16,Outdoor,Carpet,Rafael Nadal,rafael-nadal,n409,18,238,Quarter-Finals,Stephane Robert,stephane-robert,r612,345,W,63 63,2,0,2,12,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F20,,,"Gran Canaria, Spain",2002.11.25 - 2002.12.01,32,16,Outdoor,Carpet,Rafael Nadal,rafael-nadal,n409,18,238,Round of 16,Andreas Kauntz,andreas-kauntz,k369,1092,W,63 63,2,0,2,12,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F20,,,"Gran Canaria, Spain",2002.11.25 - 2002.12.01,32,16,Outdoor,Carpet,Rafael Nadal,rafael-nadal,n409,18,238,Round of 32,Roberto Menendez,roberto-menendez,m704,390,W,61 46 64,2,1,3,16,11,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F19,,,"Gran Canaria, Spain",2002.11.18 - 2002.11.24,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,18,235,Finals,Marc Fornell-Mestres,marc-fornell-mestres,f375,325,W,62 63,2,0,2,12,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F19,,,"Gran Canaria, Spain",2002.11.18 - 2002.11.24,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,18,235,Semi-Finals,Oscar Hernandez,oscar-hernandez,h472,208,W,64 61,2,0,2,12,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F19,,,"Gran Canaria, Spain",2002.11.18 - 2002.11.24,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,18,235,Quarter-Finals,German Puentes,german-puentes,p272,420,W,61 76(8) ,2,0,2,13,7,20,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F19,,,"Gran Canaria, Spain",2002.11.18 - 2002.11.24,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,18,235,Round of 16,Timo Nieminen,timo-nieminen,n313,380,W,61 64,2,0,2,12,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F19,,,"Gran Canaria, Spain",2002.11.18 - 2002.11.24,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,18,235,Round of 32,Ferran Ventura-Martell,ferran-ventura-martell,v299,444,W,64 61,2,0,2,12,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Barcelona,,,"Barcelona, Spain",2002.10.07 - 2002.10.13,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,24,261,Semi-Finals,Albert Portas,albert-portas,p305,96,L,26 16,0,2,2,3,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Barcelona,,,"Barcelona, Spain",2002.10.07 - 2002.10.13,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,24,261,Quarter-Finals,Albert Montanes,albert-montanes,m824,76,W,76(3) 63,2,0,2,13,9,22,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Barcelona,,,"Barcelona, Spain",2002.10.07 - 2002.10.13,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,24,261,Round of 16,Alex Calatrava,alex-calatrava,c361,135,W,62 64,2,0,2,12,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Barcelona,,,"Barcelona, Spain",2002.10.07 - 2002.10.13,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,24,261,Round of 32,Marcelo Charpentier,marcelo-charpentier,c375,227,W,63 64,2,0,2,12,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Seville,,,"Seville, Spain",2002.09.30 - 2002.10.06,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,5,326,Round of 16,Juan Balcells,juan-balcells,b487,123,L,46 46,0,2,2,8,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Seville,,,"Seville, Spain",2002.09.30 - 2002.10.06,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,5,326,Round of 32,Gorka Fraile,gorka-fraile,f313,211,W,46 63 62,2,1,3,16,11,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F16,,,Barcelona,2002.09.23 - 2002.09.29,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,18,374,Finals,Guillermo Garcia-Lopez,guillermo-garcia-lopez,g476,471,W,63 76(1) ,2,0,2,13,9,22,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F16,,,Barcelona,2002.09.23 - 2002.09.29,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,18,374,Semi-Finals,Juan-Luis Rascon-Lope,juan-luis-rascon-lope,r240,256,W,61 64,2,0,2,12,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F16,,,Barcelona,2002.09.23 - 2002.09.29,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,18,374,Quarter-Finals,Carlos Salamanca,carlos-salamanca,sb28,560,W,63 64,2,0,2,12,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F16,,,Barcelona,2002.09.23 - 2002.09.29,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,18,374,Round of 16,Marcos Conde-Jackson,marcos-conde-jackson,c765,1259,W,61 76(2) ,2,0,2,13,7,20,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F16,,,Barcelona,2002.09.23 - 2002.09.29,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,18,374,Round of 32,Kentaro Masuda,kentaro-masuda,m461,516,W,63 63,2,0,2,12,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F15,,,Barcelona,2002.09.16 - 2002.09.22,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,18,357,Finals,Marc Fornell-Mestres,marc-fornell-mestres,f375,416,W,63 64,2,0,2,12,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F15,,,Barcelona,2002.09.16 - 2002.09.22,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,18,357,Semi-Finals,Gabriel Trujillo-Soler,gabriel-trujillo-soler,t296,386,W,63 61,2,0,2,12,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F15,,,Barcelona,2002.09.16 - 2002.09.22,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,18,357,Quarter-Finals,Philipp Kohlschreiber,philipp-kohlschreiber,k435,293,W,63 67(5) 62,2,1,3,18,12,30,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F15,,,Barcelona,2002.09.16 - 2002.09.22,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,18,357,Round of 16,German Puentes,german-puentes,p272,414,W,36 61 61,2,1,3,15,8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F15,,,Barcelona,2002.09.16 - 2002.09.22,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,18,357,Round of 32,Kentaro Masuda,kentaro-masuda,m461,528,W,67(6) 61 60,2,1,3,18,8,26,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F12,,,"Santander, Spain",2002.08.26 - 2002.09.01,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,3,386,Quarter-Finals,Marc Fornell-Mestres,marc-fornell-mestres,f375,441,L,36 62 16,1,2,3,10,14,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F12,,,"Santander, Spain",2002.08.26 - 2002.09.01,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,3,386,Round of 16,Miguel Angel Lopez Jaen,miguel-angel-lopez-jaen,l513,418,W,62 63,2,0,2,12,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F12,,,"Santander, Spain",2002.08.26 - 2002.09.01,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,3,386,Round of 32,Agustin Tarantino,agustin-tarantino,t387,560,W,61 63,2,0,2,12,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F11,,,"Irun, Spain",2002.08.19 - 2002.09.01,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,3,460,Quarter-Finals,Solon Peppas,solon-peppas,p350,421,L,61 67(4) 57,1,2,3,17,15,32,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F11,,,"Irun, Spain",2002.08.19 - 2002.09.01,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,3,460,Round of 16,Ivan Esquerdo,ivan-esquerdo,e197,505,W,62 76(3) ,2,0,2,13,8,21,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spain F11,,,"Irun, Spain",2002.08.19 - 2002.09.01,32,16,Outdoor,Clay,Rafael Nadal,rafael-nadal,n409,3,460,Round of 32,Jordane Doble,jordane-doble,d434,425,W,76(5) 64,2,0,2,13,10,23,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
