tourney_year,tourney_name,tourney_name_slug,tourney_id,tourney_location,tourney_dates,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,player_name,player_slug,player_id,player_event_points,player_ranking,match_round,opponent_name,opponent_name_slug,opponent_player_id,opponent_rank,match_win_loss,match_score,sets_won,sets_lost,sets_total,games_won,games_lost,games_total,tiebreaks_won,tiebreaks_lost,tiebreaks_total,match_time,match_duration,player_aces,player_double_faults,player_first_serves_in,player_first_serves_total,player_first_serve_percentage,player_first_serve_points_won,player_first_serve_points_total,player_first_serve_points_won_percentage,player_second_serve_points_won,player_second_serve_points_total,player_second_serve_points_won_percentage,player_break_points_saved,player_break_points_serve_total,player_break_points_saved_percentage,player_service_points_won,player_service_points_total,player_service_points_won_percentage,player_first_serve_return_won,player_first_serve_return_total,player_first_serve_return_percentage,player_second_serve_return_won,player_second_serve_return_total,player_second_serve_return_won_percentage,player_break_points_converted,player_break_points_return_total,player_break_points_converted_percentage,player_service_games_played,player_return_games_played,player_return_points_won,player_return_points_total,player_total_points_won,player_total_points_total,player_total_points_won_percentage,opponent_aces,opponent_double_faults,opponent_first_serves_in,opponent_first_serves_total,opponent_first_serve_percentage,opponent_first_serve_points_won,opponent_first_serve_points_total,opponent_first_serve_points_won_percentage,opponent_second_serve_points_won,opponent_second_serve_points_total,opponent_second_serve_points_won_percentage,opponent_break_points_saved,opponent_break_points_serve_total,opponent_break_points_saved_percentage,opponent_service_points_won,opponent_service_points_total,opponent_service_points_won_percentage,opponent_first_serve_return_won,opponent_first_serve_return_total,opponent_first_serve_return_percentage,opponent_second_serve_return_won,opponent_second_serve_return_total,opponent_second_serve_return_won_percentage,opponent_break_points_converted,opponent_break_points_return_total,opponent_break_points_converted_percentage,opponent_service_games_played,opponent_return_games_played,opponent_return_points_won,opponent_return_points_total,opponent_total_points_won,opponent_total_points_total,opponent_total_points_won_percentage
1998,Basel,basel,328,"Basel, Switzerland",1998.10.05 - 1998.10.11,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,1,396,Round of 32,Andre Agassi,andre-agassi,a092,8,L,36 26,0,2,2,5,12,17,,,,1:00:00,60,4,2,31,53,58,20,31,65,7,22,32,4,8,50,27,53,51,5,24,21,9,26,35,1,2,50,8,9,14,50,41,103,40,4,1,24,50,48,19,24,79,17,26,65,1,2,50,36,50,72,11,31,35,15,22,68,4,8,50,9,8,26,53,62,103,60
1998,Toulouse,,,"Toulouse, France",1998.09.28 - 1998.10.04,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,59,878,Quarter-Finals,Jan Siemerink,jan-siemerink,s381,20,L,67(5) 26,0,2,2,8,13,21,0,1,1,1:19:00,79,3,6,39,67,58,27,39,69,14,28,50,7,10,70,41,67,61,8,43,19,11,20,55,1,5,20,10,10,19,63,60,130,46,5,1,43,63,68,35,43,81,9,20,45,4,5,80,44,63,70,12,39,31,14,28,50,3,10,30,10,10,26,67,70,130,54
1998,Toulouse,,,"Toulouse, France",1998.09.28 - 1998.10.04,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,59,878,Round of 16,Richard Fromberg,richard-fromberg,f164,43,W,61 76(5) ,2,0,2,13,7,20,1,0,1,1:25:00,85,8,3,43,73,59,32,43,74,18,30,60,0,4,0,50,73,68,9,39,23,20,36,56,2,10,20,10,9,29,75,79,148,53,9,4,39,75,52,30,39,77,16,36,44,8,10,80,46,75,61,11,43,26,12,30,40,0,4,0,9,10,23,73,69,148,47
1998,Toulouse,,,"Toulouse, France",1998.09.28 - 1998.10.04,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,59,878,Round of 32,Guillaume Raoux,guillaume-raoux,r186,45,W,62 62,2,0,2,12,4,16,,,,1:00:00,60,8,0,22,41,54,18,22,82,15,19,79,0,1,0,33,41,80,14,36,39,18,29,62,4,8,50,8,8,32,65,65,106,61,0,0,36,65,55,22,36,61,11,29,38,4,8,50,33,65,51,4,22,18,4,19,21,0,1,0,8,8,8,41,41,106,39
1998,Geneva,,,"Geneva, Switzerland",1998.08.24 - 1998.08.30,32,16,Outdoor,Clay,Roger Federer,roger-federer,f324,1,680,Round of 32,Orlin Stanoytchev,orlin-stanoytchev,s519,124,L,46 67,0,2,2,10,13,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,Gstaad,gstaad,314,"Gstaad, Switzerland",1998.07.06 - 1998.07.12,32,16,Outdoor,Clay,Roger Federer,roger-federer,f324,1,702,Round of 32,Lucas Arnold Ker,lucas-arnold-ker,a228,88,L,46 46,0,2,2,8,12,20,,,,1:20:00,80,1,3,36,74,49,24,36,67,15,38,39,1,5,20,39,74,53,17,46,37,7,16,44,2,3,67,10,10,24,62,63,136,46,1,1,46,62,74,29,46,63,9,16,56,1,3,33,38,62,61,12,36,33,23,38,61,4,5,80,10,10,35,74,73,136,54
1999,Brest,,,"Brest, France",1999.10.25 - 1999.10.31,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,97,66,Finals,Max Mirnyi,max-mirnyi,m595,90,W,76(4) 63,2,0,2,13,9,22,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Brest,,,"Brest, France",1999.10.25 - 1999.10.31,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,97,66,Semi-Finals,Martin Damm,martin-damm,d214,134,W,63 76(4) ,2,0,2,13,9,22,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Brest,,,"Brest, France",1999.10.25 - 1999.10.31,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,97,66,Quarter-Finals,Michael Llodra,michael-llodra,l428,333,W,63 63,2,0,2,12,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Brest,,,"Brest, France",1999.10.25 - 1999.10.31,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,97,66,Round of 16,Rodolphe Gilbert,rodolphe-gilbert,g108,180,W,64 63,2,0,2,12,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
