year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1986,"Houston, TX, U.S.A.",17.11.1986,GP,Indoor: Carpet,Draw: 32,11,102,"$3,410",R32,Glenn Michibata (CAN),147,"W 6-3, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=405&y=1986&r=3&p=A092,Houston,R32,0,Andre Agassi,Andre Agassi,United States,,,,,,,,,,,,,,,,,,,,,,,,,Glenn Michibata,Canada,,,,,,,,,,,,,,,,,,,,,,,,
1986,"Houston, TX, U.S.A.",17.11.1986,GP,Indoor: Carpet,Draw: 32,11,102,"$3,410",R16,Bill Scanlon (USA),107,"L 1-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=405&y=1986&r=4&p=A092,Houston,R16,0,Bill Scanlon,Andre Agassi,United States,,,,,,,,,,,,,,,,,,,,,,,,,Bill Scanlon,United States,,,,,,,,,,,,,,,,,,,,,,,,
1986,"Tokyo Outdoor, Japan",13.10.1986,GP,Outdoor: Hard,Draw: 64,1,100,$525,R64,Jimmy Arias (USA),38,"L 4-6, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=1986&r=2&p=A092,Tokyo Outdoor,R64,0,Jimmy Arias,Andre Agassi,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Arias,United States,,,,,,,,,,,,,,,,,,,,,,,,
1986,"Scottsdale, AZ, U.S.A.",06.10.1986,GP,Outdoor: Hard,Draw: 32,1,101,"$1,870",R32,Glenn Layendecker (USA),104,"L 4-6, 6-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=433&y=1986&r=3&p=A092,Scottsdale,R32,0,Glenn Layendecker,Andre Agassi,United States,,,,,,,,,,,,,,,,,,,,,,,,,Glenn Layendecker,United States,,,,,,,,,,,,,,,,,,,,,,,,
1986,"West Palm, FL, U.S.A.",22.09.1986,CH,Outdoor: Clay,Draw: 32,4,105,$387,R32,John Ross (USA),727,"W 6-3, 5-7, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=231&y=1986&r=3&p=A092,West Palm,R32,0,Andre Agassi,Andre Agassi,United States,,,,,,,,,,,,,,,,,,,,,,,,,John Ross,United States,,,,,,,,,,,,,,,,,,,,,,,,
1986,"West Palm, FL, U.S.A.",22.09.1986,CH,Outdoor: Clay,Draw: 32,4,105,$387,R16,Derek Tarr (USA),200,"L 4-6, 6-2, 0-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=231&y=1986&r=4&p=A092,West Palm,R16,0,Derek Tarr,Andre Agassi,United States,,,,,,,,,,,,,,,,,,,,,,,,,Derek Tarr,United States,,,,,,,,,,,,,,,,,,,,,,,,
1986,"US Open, NY, U.S.A.",26.08.1986,GS,Outdoor: Hard,Draw: 128,1,105,"$2,816",R128,Jeremy Bates (GBR),128,"L 6-7, 3-6, 6-4, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1986&r=1&p=A092,US Open,R128,0,Jeremy Bates,Andre Agassi,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy Bates,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,
1986,"New Haven, CT, U.S.A.",11.08.1986,CH,Outdoor: Hard,Draw: 32,4,105,$387,R32,Brett Dickinson (USA),263,"W 2-6, 6-2, 7-5",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=372&y=1986&r=3&p=A092,New Haven,R32,0,Andre Agassi,Andre Agassi,United States,,,,,,,,,,,,,,,,,,,,,,,,,Brett Dickinson,United States,,,,,,,,,,,,,,,,,,,,,,,,
1986,"New Haven, CT, U.S.A.",11.08.1986,CH,Outdoor: Hard,Draw: 32,4,105,$387,R16,Tomm Warneke (USA),221,"L 2-6, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=372&y=1986&r=4&p=A092,New Haven,R16,0,Tomm Warneke,Andre Agassi,United States,,,,,,,,,,,,,,,,,,,,,,,,,Tomm Warneke,United States,,,,,,,,,,,,,,,,,,,,,,,,
1986,"Stratton Mountain, VT, U.S.A.",04.08.1986,GP,Outdoor: Hard,Draw: 64,54,211,"$5,950",R64,Stefan Eriksson (SWE),119,"W 7-6, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=420&y=1986&r=2&p=A092,Stratton Mountain,R64,0,Andre Agassi,Andre Agassi,United States,,,,,,,,,,,,,,,,,,,,,,,,,Stefan Eriksson,Sweden,,,,,,,,,,,,,,,,,,,,,,,,
