year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1999,"U.S.A. F12, St. Jos., MO, U.S.A.",26.07.1999,FU,Outdoor: Hard,Draw: 64,,,$96,R64,Cory Guy (USA),"1,034","L 6-7(7), 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=458&y=1999&r=2&p=R485,U.S.A. F12,R64,0,Cory Guy,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Cory Guy,United States,,,,,,,,,,,,,,,,,,,,,,,,
1999,"U.S.A. F5, Boca Raton, U.S.A",24.05.1999,FU,Outdoor: Hard,Draw: 64,,,$96,R64,Michael Russell (USA),319,"L 2-6, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=201&y=1999&r=2&p=R485,U.S.A. F5,R64,0,Michael Russell,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Michael Russell,United States,,,,,,,,,,,,,,,,,,,,,,,,
1999,"U.S.A. F4, Vero Beach, U.S.A.",17.05.1999,FU,Outdoor: Clay,Draw: 64,,,$96,R64,Nicolas Todero (ARG),512,"L 3-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=690&y=1999&r=2&p=R485,U.S.A. F4,R64,0,Nicolas Todero,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Nicolas Todero,Argentina,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Knoxville, Tennessee, USA",20.11.2000,CH,Indoor: Hard,Draw: 32,35,182,"$4,240",R32,Robby Ginepri (USA),"1,348","W 6-2, 5-7, 7-6(2)",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=363&y=2000&r=3&p=R485,Knoxville,R32,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Robby Ginepri,United States,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Knoxville, Tennessee, USA",20.11.2000,CH,Indoor: Hard,Draw: 32,35,182,"$4,240",R16,Wesley Whitehouse (RSA),671,"W 6-4, 4-6, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=363&y=2000&r=4&p=R485,Knoxville,R16,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Wesley Whitehouse,South Africa,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Knoxville, Tennessee, USA",20.11.2000,CH,Indoor: Hard,Draw: 32,35,182,"$4,240",Q,Jimy Szymanski (VEN),214,"W 6-3, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=363&y=2000&r=5&p=R485,Knoxville,Q,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jimy Szymanski,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Knoxville, Tennessee, USA",20.11.2000,CH,Indoor: Hard,Draw: 32,35,182,"$4,240",S,Xavier Malisse (BEL),136,"W 6-4, 3-2 RET",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=363&y=2000&r=6&p=R485,Knoxville,S,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Xavier Malisse,Belgium,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Knoxville, Tennessee, USA",20.11.2000,CH,Indoor: Hard,Draw: 32,35,182,"$4,240",F,Cristiano Caratti (ITA),173,"L 6-3, 6-7(1), 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=363&y=2000&r=7&p=R485,Knoxville,F,0,Cristiano Caratti,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Cristiano Caratti,Italy,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Burbank, California, USA",06.11.2000,CH,Outdoor: Hard,Draw: 32,50,217,"$7,200",R32,Sebastien Lareau (CAN),119,"W 6-4, 6-7(1), 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=86&y=2000&r=3&p=R485,Burbank,R32,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Sebastien Lareau,Canada,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Burbank, California, USA",06.11.2000,CH,Outdoor: Hard,Draw: 32,50,217,"$7,200",R16,James Blake (USA),213,"W 6-2, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=86&y=2000&r=4&p=R485,Burbank,R16,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,James Blake,United States,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Burbank, California, USA",06.11.2000,CH,Outdoor: Hard,Draw: 32,50,217,"$7,200",Q,Vincent Spadea (USA),235,"W 6-3, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=86&y=2000&r=5&p=R485,Burbank,Q,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Vincent Spadea,United States,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Burbank, California, USA",06.11.2000,CH,Outdoor: Hard,Draw: 32,50,217,"$7,200",S,Marcos Ondruska (RSA),171,"W 6-1, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=86&y=2000&r=6&p=R485,Burbank,S,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Marcos Ondruska,South Africa,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Burbank, California, USA",06.11.2000,CH,Outdoor: Hard,Draw: 32,50,217,"$7,200",W,Kevin Kim (USA),166,"W 6-1, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=86&y=2000&r=7&p=R485,Burbank,F,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Kim,United States,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Las Vegas, Nevada, USA",30.10.2000,CH,Outdoor: Hard,Draw: 32,22,238,"$2,500",R32,Nir Welgreen (ISR),292,"W 6-0, 7-6(2)",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=432&y=2000&r=3&p=R485,Las Vegas,R32,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Nir Welgreen,Israel,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Las Vegas, Nevada, USA",30.10.2000,CH,Outdoor: Hard,Draw: 32,22,238,"$2,500",R16,Petr Kralert (CZE),203,"W 6-2, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=432&y=2000&r=4&p=R485,Las Vegas,R16,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Petr Kralert,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Las Vegas, Nevada, USA",30.10.2000,CH,Outdoor: Hard,Draw: 32,22,238,"$2,500",Q,Noam Okun (ISR),502,"W 6-1, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=432&y=2000&r=5&p=R485,Las Vegas,Q,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Noam Okun,Israel,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Las Vegas, Nevada, USA",30.10.2000,CH,Outdoor: Hard,Draw: 32,22,238,"$2,500",S,Neville Godwin (RSA),161,"L 4-6, 1-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=432&y=2000&r=6&p=R485,Las Vegas,S,0,Neville Godwin,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Neville Godwin,South Africa,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Austin, Texas, USA",02.10.2000,CH,Outdoor: Hard,Draw: 32,52,325,"$7,200",R32,Fredrik Giers (SWE),345,"W 6-4, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=489&y=2000&r=3&p=R485,Austin,R32,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Fredrik Giers,Sweden,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Austin, Texas, USA",02.10.2000,CH,Outdoor: Hard,Draw: 32,52,325,"$7,200",R16,Jimy Szymanski (VEN),197,"W 3-6, 6-4, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=489&y=2000&r=4&p=R485,Austin,R16,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jimy Szymanski,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Austin, Texas, USA",02.10.2000,CH,Outdoor: Hard,Draw: 32,52,325,"$7,200",Q,Alejandro Hernandez (MEX),180,"W 6-1, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=489&y=2000&r=5&p=R485,Austin,Q,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Alejandro Hernandez,Mexico,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Austin, Texas, USA",02.10.2000,CH,Outdoor: Hard,Draw: 32,52,325,"$7,200",S,Emin Agaev (AZE),360,"W 7-5, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=489&y=2000&r=6&p=R485,Austin,S,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Emin Agaev,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Austin, Texas, USA",02.10.2000,CH,Outdoor: Hard,Draw: 32,52,325,"$7,200",W,Michael Russell (USA),172,"W 6-4, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=489&y=2000&r=7&p=R485,Austin,F,0,Andy Roddick,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Michael Russell,United States,,,,,,,,,,,,,,,,,,,,,,,,
2000,"San Antonio, Texas, USA",25.09.2000,CH,Outdoor: Hard,Draw: 32,1,325,$520,R32,Andrei Stoliarov (RUS),121,"L 6-3, 4-6, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=631&y=2000&r=3&p=R485,San Antonio,R32,0,Andrei Stoliarov,Andy Roddick,United States,,,,,,,,,,,,,,,,,,,,,,,,,Andrei Stoliarov,Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,
2000,"US Open, NY, U.S.A.",28.08.2000,GS,Outdoor: Hard,Draw: 128,5,338,"$10,000",R128,Albert Costa (ESP),24,"L 3-6, 7-6(5), 1-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=2000&r=1&p=R485,US Open,R128,146,Albert Costa,Andy Roddick,United States,14,5,65,127,51,65,25,62,11,16,18,11,65,18,51,1,4,20,76,127,29,116,105,243,Albert Costa,Spain,18,3,65,116,54,65,33,51,3,4,20,14,65,37,62,5,16,18,87,116,51,127,138,243
2000,"Washington, DC, U.S.A.",14.08.2000,CS,Outdoor: Hard,Draw: 56,60,596,"$16,750",R64,Adrian Voinea (ROU),91,"W 6-3, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2000&r=2&p=R485,Washington,R64,53,Andy Roddick,Andy Roddick,United States,9,3,36,54,32,36,8,18,0,0,10,9,35,7,13,2,2,9,40,54,16,48,56,102,Adrian Voinea,Romania,2,4,35,48,26,35,6,13,0,2,9,4,36,10,18,0,0,10,32,48,14,54,46,102
