year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1994,"Sao Luis, Brazil",05.12.1994,CH,Outdoor: Hard,Draw: 32,15,418,"$1,465",R32,Martin Rodriguez (ARG),217,"W 7-5, 7-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=843&y=1994&r=3&p=K293,Sao Luis,R32,0,Gustavo Kuerten,Gustavo Kuerten,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,Martin Rodriguez,Argentina,,,,,,,,,,,,,,,,,,,,,,,,
1994,"Sao Luis, Brazil",05.12.1994,CH,Outdoor: Hard,Draw: 32,15,418,"$1,465",R16,Francisco Montana (USA),278,"W 6-4, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=843&y=1994&r=4&p=K293,Sao Luis,R16,0,Gustavo Kuerten,Gustavo Kuerten,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,Francisco Montana,United States,,,,,,,,,,,,,,,,,,,,,,,,
1994,"Sao Luis, Brazil",05.12.1994,CH,Outdoor: Hard,Draw: 32,15,418,"$1,465",Q,Gaston Etlis (ARG),228,"L 6-7, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=843&y=1994&r=5&p=K293,Sao Luis,Q,0,Gaston Etlis,Gustavo Kuerten,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,Gaston Etlis,Argentina,,,,,,,,,,,,,,,,,,,,,,,,
1994,"Natal, Brazil",05.09.1994,CH,Outdoor: Clay,Draw: 32,8,421,$860,R32,Alexandre Hocevar (BRA),575,"W 4-6, 7-6, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=512&y=1994&r=3&p=K293,Natal,R32,0,Gustavo Kuerten,Gustavo Kuerten,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,Alexandre Hocevar,Brazil,,,,,,,,,,,,,,,,,,,,,,,,
1994,"Natal, Brazil",05.09.1994,CH,Outdoor: Clay,Draw: 32,8,421,$860,R16,Jaime Oncins (BRA),178,"L 2-6, 6-1, 6-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=512&y=1994&r=4&p=K293,Natal,R16,0,Jaime Oncins,Gustavo Kuerten,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,Jaime Oncins,Brazil,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Santiago, Chile",20.11.1995,CH,Outdoor: Clay,Draw: 32,7,187,$430,R32,Marcelo Rebolledo (CHI),975,"W 6-2, 4-6, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=883&y=1995&r=3&p=K293,Santiago,R32,0,Gustavo Kuerten,Gustavo Kuerten,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,Marcelo Rebolledo,Chile,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Santiago, Chile",20.11.1995,CH,Outdoor: Clay,Draw: 32,7,187,$430,R16,Franco Davin (ARG),251,"L 4-6, 7-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=883&y=1995&r=4&p=K293,Santiago,R16,0,Franco Davin,Gustavo Kuerten,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,Franco Davin,Argentina,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Lima, Peru",16.10.1995,CH,Outdoor: Clay,Draw: 32,11,191,"$1,720",R32,Roberto Jabali (BRA),176,"W 6-2, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=554&y=1995&r=3&p=K293,Lima,R32,0,Gustavo Kuerten,Gustavo Kuerten,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,Roberto Jabali,Brazil,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Lima, Peru",16.10.1995,CH,Outdoor: Clay,Draw: 32,11,191,"$1,720",R16,Karim Alami (MAR),74,"L 5-7, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=554&y=1995&r=4&p=K293,Lima,R16,0,Karim Alami,Gustavo Kuerten,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,Karim Alami,Morocco,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Guayaquil, Ecuador",09.10.1995,CH,Outdoor: Clay,Draw: 32,1,192,$520,R32,Juan Albert Viloca-Puig (ESP),178,"L 0-6, 5-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=543&y=1995&r=3&p=K293,Guayaquil,R32,0,Juan Albert Viloca-Puig,Gustavo Kuerten,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,Juan Albert Viloca-Puig,Spain,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Siracusa, Italy",02.10.1995,CH,Outdoor: Clay,Draw: 32,27,209,"$1,255",R32,Gary Henderson (GBR),339,"W 7-5, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=594&y=1995&r=3&p=K293,Siracusa,R32,0,Gustavo Kuerten,Gustavo Kuerten,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,Gary Henderson,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,
