year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1997,"Perth, Australia",08.12.1997,CH,Outdoor: Hard,Draw: 32,7,571,$430,R32,Jaymon Crabb (AUS),317,"W 6-2, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=243&y=1997&r=3&p=H432,Perth,R32,0,Lleyton Hewitt,Lleyton Hewitt,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Jaymon Crabb,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Perth, Australia",08.12.1997,CH,Outdoor: Hard,Draw: 32,7,571,$430,R16,Teo Susnjak (NZL),415,"L 4-6, 7-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=243&y=1997&r=4&p=H432,Perth,R16,0,Teo Susnjak,Lleyton Hewitt,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Teo Susnjak,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Australian Open, Australia",13.01.1997,GS,Outdoor: Hard,Draw: 128,1,,"$7,034",R128,Sergi Bruguera (ESP),64,"L 3-6, 4-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=580&y=1997&r=1&p=H432,Australian Open,R128,112,Sergi Bruguera,Lleyton Hewitt,Australia,4,3,60,108,34,60,21,48,10,17,14,18,63,10,28,3,6,14,55,108,28,91,83,199,Sergi Bruguera,Spain,9,0,63,91,45,63,18,28,3,6,14,26,60,27,48,7,17,14,63,91,53,108,116,199
1998,"Perth, Australia",07.12.1998,CH,Outdoor: Hard,Draw: 32,61,113,"$3,600",R32,Mark Nielsen (NZL),339,"W 6-1, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=243&y=1998&r=3&p=H432,Perth,R32,0,Lleyton Hewitt,Lleyton Hewitt,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Mark Nielsen,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Perth, Australia",07.12.1998,CH,Outdoor: Hard,Draw: 32,61,113,"$3,600",R16,Grant Silcock (AUS),"1,220","W 6-2, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=243&y=1998&r=4&p=H432,Perth,R16,0,Lleyton Hewitt,Lleyton Hewitt,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Grant Silcock,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Perth, Australia",07.12.1998,CH,Outdoor: Hard,Draw: 32,61,113,"$3,600",Q,Jurek Stasiak (AUS),523,"W 6-4, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=243&y=1998&r=5&p=H432,Perth,Q,0,Lleyton Hewitt,Lleyton Hewitt,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Jurek Stasiak,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Perth, Australia",07.12.1998,CH,Outdoor: Hard,Draw: 32,61,113,"$3,600",S,James Sekulov (AUS),342,"W 6-0, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=243&y=1998&r=6&p=H432,Perth,S,0,Lleyton Hewitt,Lleyton Hewitt,Australia,,,,,,,,,,,,,,,,,,,,,,,,,James Sekulov,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Perth, Australia",07.12.1998,CH,Outdoor: Hard,Draw: 32,61,113,"$3,600",W,Mark Draper (AUS),181,"W 6-4, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=243&y=1998&r=7&p=H432,Perth,F,0,Lleyton Hewitt,Lleyton Hewitt,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Mark Draper,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Hong Kong, Hong Kong",19.10.1998,CH,Outdoor: Hard,Draw: 32,50,121,"$4,240",R32,Mahesh Bhupathi (IND),362,"W 6-4, 1-1 RET",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=743&y=1998&r=3&p=H432,Hong Kong,R32,0,Lleyton Hewitt,Lleyton Hewitt,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Mahesh Bhupathi,India,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Hong Kong, Hong Kong",19.10.1998,CH,Outdoor: Hard,Draw: 32,50,121,"$4,240",R16,Hyung-Taik Lee (KOR),273,"W 6-2, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=743&y=1998&r=4&p=H432,Hong Kong,R16,0,Lleyton Hewitt,Lleyton Hewitt,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Hyung-Taik Lee,"Korea, Republic of",,,,,,,,,,,,,,,,,,,,,,,,
