year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1980,"Stockholm, Sweden",04.11.1980,GP,Indoor: Carpet,Draw: 32,,,$,R32,Brian Gottfried (USA),N/A,"L 7-5, 5-7, 1-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1980&r=3&p=W023,Stockholm,R32,0,Brian Gottfried,Mats Wilander,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Brian Gottfried,United States,,,,,,,,,,,,,,,,,,,,,,,,
1980,"Madrid, Spain",29.09.1980,GP,Outdoor: Clay,Draw: 64,,,$,R64,Bye,N/A,W ,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=309&y=1980&r=2&p=W023,Madrid,R64,0,Mats Wilander,Mats Wilander,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,N/A Bye,,,,,,,,,,,,,,,,,,,,,,,,,
1980,"Madrid, Spain",29.09.1980,GP,Outdoor: Clay,Draw: 64,,,$,R32,Mario Martinez (BOL),N/A,"L 3-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=309&y=1980&r=3&p=W023,Madrid,R32,0,Mario Martinez,Mats Wilander,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Mario Martinez,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,
1980,"Bordeaux, France",22.09.1980,GP,Outdoor: Clay,Draw: 32,,,$,R32,Hans Gildemeister (CHI),N/A,"L 6-2, 1-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=323&y=1980&r=3&p=W023,Bordeaux,R32,0,Hans Gildemeister,Mats Wilander,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Hans Gildemeister,Chile,,,,,,,,,,,,,,,,,,,,,,,,
1980,"Le Touquet, France",18.08.1980,CH,Outdoor: Clay,Draw: 32,,,$,R32,Angel Gimenez (ESP),N/A,"L 2-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=260&y=1980&r=3&p=W023,Le Touquet,R32,0,Angel Gimenez,Mats Wilander,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Angel Gimenez,Spain,,,,,,,,,,,,,,,,,,,,,,,,
1980,"Royan, France",11.08.1980,CH,Outdoor: Clay,Draw: 32,,,$,R32,Hans Simonsson (SWE),N/A,"W 6-2, 6-0",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=289&y=1980&r=3&p=W023,Royan,R32,0,Mats Wilander,Mats Wilander,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Hans Simonsson,Sweden,,,,,,,,,,,,,,,,,,,,,,,,
1980,"Royan, France",11.08.1980,CH,Outdoor: Clay,Draw: 32,,,$,R16,Dominique Bedel (FRA),N/A,"L 4-6, 7-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=289&y=1980&r=4&p=W023,Royan,R16,0,Dominique Bedel,Mats Wilander,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Dominique Bedel,France,,,,,,,,,,,,,,,,,,,,,,,,
1980,"Bastad, Sweden",14.07.1980,GP,Outdoor: Clay,Draw: 32,,,$,R32,Jan Kallquist (SWE),N/A,"W 6-4, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=316&y=1980&r=3&p=W023,Bastad,R32,0,Mats Wilander,Mats Wilander,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Jan Kallquist,Sweden,,,,,,,,,,,,,,,,,,,,,,,,
1980,"Bastad, Sweden",14.07.1980,GP,Outdoor: Clay,Draw: 32,,,$,R16,Peter McNamara (AUS),N/A,"L 6-7, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=316&y=1980&r=4&p=W023,Bastad,R16,0,Peter McNamara,Mats Wilander,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Peter McNamara,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Australian Open, Australia",24.12.1981,GS,Outdoor: Grass,Draw: 64,,,$,R64,Paul Kronk (AUS),N/A,"L 6-3, 3-6, 4-6, 5-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=580&y=1981&r=2&p=W023,Australian Open,R64,0,Paul Kronk,Mats Wilander,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Paul Kronk,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Sydney Outdoor, Australia",14.12.1981,GP,Outdoor: Grass,Draw: 64,,,$,R64,Pat Dupre (USA),N/A,"L 4-6, 6-4, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=1981&r=2&p=W023,Sydney Outdoor,R64,0,Pat Dupre,Mats Wilander,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Pat Dupre,United States,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Bangkok, Thailand",16.11.1981,GP,Indoor: Carpet,Draw: 32,,,$,R32,Anand Amritraj (IND),N/A,"W 6-2, 7-5",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=334&y=1981&r=3&p=W023,Bangkok,R32,0,Mats Wilander,Mats Wilander,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Anand Amritraj,India,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Bangkok, Thailand",16.11.1981,GP,Indoor: Carpet,Draw: 32,,,$,R16,Joakim Nystrom (SWE),N/A,"W 6-2, 6-0",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=334&y=1981&r=4&p=W023,Bangkok,R16,0,Mats Wilander,Mats Wilander,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Joakim Nystrom,Sweden,,,,,,,,,,,,,,,,,,,,,,,,
