year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1968,"Los Angeles, CA, USA",14.09.1968,GP,Outdoor: Hard,Draw: 64,,,$,R64,Armistead Neely (USA),N/A,"W 6-0, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1968&r=2&p=G077,Los Angeles,R64,0,Richard Pancho Gonzales,Richard Pancho Gonzales,United States,,,,,,,,,,,,,,,,,,,,,,,,,Armistead Neely,United States,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Los Angeles, CA, USA",14.09.1968,GP,Outdoor: Hard,Draw: 64,,,$,R32,Donald Dell (USA),N/A,"W 6-2, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1968&r=3&p=G077,Los Angeles,R32,0,Richard Pancho Gonzales,Richard Pancho Gonzales,United States,,,,,,,,,,,,,,,,,,,,,,,,,Donald Dell,United States,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Los Angeles, CA, USA",14.09.1968,GP,Outdoor: Hard,Draw: 64,,,$,R16,Earl Butch Buchholz (USA),N/A,"W 8-6, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1968&r=4&p=G077,Los Angeles,R16,0,Richard Pancho Gonzales,Richard Pancho Gonzales,United States,,,,,,,,,,,,,,,,,,,,,,,,,Earl Butch Buchholz,United States,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Los Angeles, CA, USA",14.09.1968,GP,Outdoor: Hard,Draw: 64,,,$,Q,Ken Rosewall (AUS),N/A,"L 9-11, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1968&r=5&p=G077,Los Angeles,Q,0,Ken Rosewall,Richard Pancho Gonzales,United States,,,,,,,,,,,,,,,,,,,,,,,,,Ken Rosewall,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1968,"US Open, NY, U.S.A.",29.08.1968,GS,Outdoor: Grass,Draw: 96,,,$,R128,Bye,N/A,W ,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1968&r=1&p=G077,US Open,R128,0,Richard Pancho Gonzales,Richard Pancho Gonzales,United States,,,,,,,,,,,,,,,,,,,,,,,,,N/A Bye,,,,,,,,,,,,,,,,,,,,,,,,,
1968,"US Open, NY, U.S.A.",29.08.1968,GS,Outdoor: Grass,Draw: 96,,,$,R64,Colin Stubs (AUS),N/A,"W 6-2, 6-2, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1968&r=2&p=G077,US Open,R64,0,Richard Pancho Gonzales,Richard Pancho Gonzales,United States,,,,,,,,,,,,,,,,,,,,,,,,,Colin Stubs,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1968,"US Open, NY, U.S.A.",29.08.1968,GS,Outdoor: Grass,Draw: 96,,,$,R32,Mal Anderson (AUS),N/A,"W 6-4, 6-4, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1968&r=3&p=G077,US Open,R32,0,Richard Pancho Gonzales,Richard Pancho Gonzales,United States,,,,,,,,,,,,,,,,,,,,,,,,,Mal Anderson,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1968,"US Open, NY, U.S.A.",29.08.1968,GS,Outdoor: Grass,Draw: 96,,,$,R16,Tony Roche (AUS),N/A,"W 8-6, 6-4, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1968&r=4&p=G077,US Open,R16,0,Richard Pancho Gonzales,Richard Pancho Gonzales,United States,,,,,,,,,,,,,,,,,,,,,,,,,Tony Roche,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1968,"US Open, NY, U.S.A.",29.08.1968,GS,Outdoor: Grass,Draw: 96,,,$,Q,Tom Okker (NED),N/A,"L 16-14, 3-6, 8-10, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1968&r=5&p=G077,US Open,Q,0,Tom Okker,Richard Pancho Gonzales,United States,,,,,,,,,,,,,,,,,,,,,,,,,Tom Okker,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Wimbledon, England",24.06.1968,GS,Outdoor: Grass,Draw: 128,,,$,R128,Ramanathan Krishnan (IND),N/A,"W 6-2, 6-4, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=540&y=1968&r=1&p=G077,Wimbledon,R128,0,Richard Pancho Gonzales,Richard Pancho Gonzales,United States,,,,,,,,,,,,,,,,,,,,,,,,,Ramanathan Krishnan,India,,,,,,,,,,,,,,,,,,,,,,,,
