year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1968,"Buenos Aires, Argentina",11.11.1968,GP,Outdoor: Clay,Draw: 16,,,$,R16,Bye,N/A,W ,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=303&y=1968&r=4&p=L058,Buenos Aires,R16,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,N/A Bye,,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Buenos Aires, Argentina",11.11.1968,GP,Outdoor: Clay,Draw: 16,,,$,Q,Herb Fitzgibbon (USA),N/A,"W 6-1, 6-4, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=303&y=1968&r=5&p=L058,Buenos Aires,Q,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Herb Fitzgibbon,United States,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Buenos Aires, Argentina",11.11.1968,GP,Outdoor: Clay,Draw: 16,,,$,S,Thomaz Koch (BRA),N/A,"W 6-2, 8-6, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=303&y=1968&r=6&p=L058,Buenos Aires,S,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Thomaz Koch,Brazil,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Buenos Aires, Argentina",11.11.1968,GP,Outdoor: Clay,Draw: 16,,,$,F,Roy Emerson (AUS),N/A,"L 7-9, 4-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=303&y=1968&r=7&p=L058,Buenos Aires,F,0,Roy Emerson,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Roy Emerson,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Los Angeles, CA, USA",14.09.1968,GP,Outdoor: Hard,Draw: 64,,,$,R64,John Norgauer (USA),N/A,"W 6-0, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1968&r=2&p=L058,Los Angeles,R64,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,John Norgauer,United States,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Los Angeles, CA, USA",14.09.1968,GP,Outdoor: Hard,Draw: 64,,,$,R32,Robert Lutz (USA),N/A,"W 6-3, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1968&r=3&p=L058,Los Angeles,R32,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Robert Lutz,United States,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Los Angeles, CA, USA",14.09.1968,GP,Outdoor: Hard,Draw: 64,,,$,R16,Jim Osborne (USA),N/A,"W 6-2, 7-5",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1968&r=4&p=L058,Los Angeles,R16,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Jim Osborne,United States,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Los Angeles, CA, USA",14.09.1968,GP,Outdoor: Hard,Draw: 64,,,$,Q,Clark Graebner (USA),N/A,"W 2-6, 6-4, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1968&r=5&p=L058,Los Angeles,Q,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Clark Graebner,United States,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Los Angeles, CA, USA",14.09.1968,GP,Outdoor: Hard,Draw: 64,,,$,S,Fred Stolle (AUS),N/A,"W 9-7, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1968&r=6&p=L058,Los Angeles,S,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Fred Stolle,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Los Angeles, CA, USA",14.09.1968,GP,Outdoor: Hard,Draw: 64,,,$,W,Ken Rosewall (AUS),N/A,"W 4-6, 6-0, 6-0",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1968&r=7&p=L058,Los Angeles,F,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Ken Rosewall,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1968,"US Open, NY, U.S.A.",29.08.1968,GS,Outdoor: Grass,Draw: 96,,,$,R128,Bye,N/A,W ,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1968&r=1&p=L058,US Open,R128,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,N/A Bye,,,,,,,,,,,,,,,,,,,,,,,,,
1968,"US Open, NY, U.S.A.",29.08.1968,GS,Outdoor: Grass,Draw: 96,,,$,R64,Thomaz Koch (BRA),N/A,"W 6-8, 4-6, 6-4, 6-4, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1968&r=2&p=L058,US Open,R64,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Thomaz Koch,Brazil,,,,,,,,,,,,,,,,,,,,,,,,
1968,"US Open, NY, U.S.A.",29.08.1968,GS,Outdoor: Grass,Draw: 96,,,$,R32,Pancho Segura (ECU),N/A,"W 6-2, 6-1, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1968&r=3&p=L058,US Open,R32,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Pancho Segura,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,
1968,"US Open, NY, U.S.A.",29.08.1968,GS,Outdoor: Grass,Draw: 96,,,$,R16,Cliff Drysdale (RSA),N/A,"L 6-4, 4-6, 6-3, 1-6, 1-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1968&r=4&p=L058,US Open,R16,0,Cliff Drysdale,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Cliff Drysdale,South Africa,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Wimbledon, England",24.06.1968,GS,Outdoor: Grass,Draw: 128,,,$,R128,Gene Scott (USA),N/A,"W 6-3, 4-6, 6-3, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=540&y=1968&r=1&p=L058,Wimbledon,R128,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Gene Scott,United States,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Wimbledon, England",24.06.1968,GS,Outdoor: Grass,Draw: 128,,,$,R64,Stan Smith (USA),N/A,"W 6-3, 6-4, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=540&y=1968&r=2&p=L058,Wimbledon,R64,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Stan Smith,United States,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Wimbledon, England",24.06.1968,GS,Outdoor: Grass,Draw: 128,,,$,R32,Marty Riessen (USA),N/A,"W 6-4, 3-6, 7-5, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=540&y=1968&r=3&p=L058,Wimbledon,R32,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Marty Riessen,United States,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Wimbledon, England",24.06.1968,GS,Outdoor: Grass,Draw: 128,,,$,R16,Mark Cox (GBR),N/A,"W 9-7, 5-7, 6-2, 6-0",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=540&y=1968&r=4&p=L058,Wimbledon,R16,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Mark Cox,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Wimbledon, England",24.06.1968,GS,Outdoor: Grass,Draw: 128,,,$,Q,Dennis Ralston (USA),N/A,"W 4-6, 6-3, 6-1, 4-6, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=540&y=1968&r=5&p=L058,Wimbledon,Q,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Dennis Ralston,United States,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Wimbledon, England",24.06.1968,GS,Outdoor: Grass,Draw: 128,,,$,S,Arthur Ashe (USA),N/A,"W 7-5, 6-2, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=540&y=1968&r=6&p=L058,Wimbledon,S,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Arthur Ashe,United States,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Wimbledon, England",24.06.1968,GS,Outdoor: Grass,Draw: 128,,,$,W,Tony Roche (AUS),N/A,"W 6-3, 6-4, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=540&y=1968&r=7&p=L058,Wimbledon,F,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Tony Roche,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1968,"London / Queen's Club, England",17.06.1968,GP,Outdoor: Grass,Draw: 64,,,$,R64,Brian Fairlie (NZL),N/A,"W 6-4, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=1968&r=2&p=L058,London / Queen's Club,R64,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Brian Fairlie,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,
1968,"London / Queen's Club, England",17.06.1968,GP,Outdoor: Grass,Draw: 64,,,$,R32,Alan Fox (USA),N/A,"W 6-3, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=1968&r=3&p=L058,London / Queen's Club,R32,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Alan Fox,United States,,,,,,,,,,,,,,,,,,,,,,,,
1968,"London / Queen's Club, England",17.06.1968,GP,Outdoor: Grass,Draw: 64,,,$,R16,Earl Butch Buchholz (USA),N/A,"W 6-2, 8-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=1968&r=4&p=L058,London / Queen's Club,R16,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Earl Butch Buchholz,United States,,,,,,,,,,,,,,,,,,,,,,,,
1968,"London / Queen's Club, England",17.06.1968,GP,Outdoor: Grass,Draw: 64,,,$,Q,Charlie Pasarell (USA),N/A,"W 21-19, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=1968&r=5&p=L058,London / Queen's Club,Q,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Charlie Pasarell,United States,,,,,,,,,,,,,,,,,,,,,,,,
1968,"London / Queen's Club, England",17.06.1968,GP,Outdoor: Grass,Draw: 64,,,$,S,Tom Okker (NED),N/A,"L 4-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=1968&r=6&p=L058,London / Queen's Club,S,0,Tom Okker,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Tom Okker,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Roland Garros, France",27.05.1968,GS,Outdoor: Clay,Draw: 128,,,$,R128,Lance Lumsden (JAM),N/A,"W 6-1, 6-1, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=520&y=1968&r=1&p=L058,Roland Garros,R128,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Lance Lumsden,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Roland Garros, France",27.05.1968,GS,Outdoor: Clay,Draw: 128,,,$,R64,Nicholas Kalogeropoulos (GRE),N/A,"W 6-2, 4-6, 6-4, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=520&y=1968&r=2&p=L058,Roland Garros,R64,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Nicholas Kalogeropoulos,Greece,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Roland Garros, France",27.05.1968,GS,Outdoor: Clay,Draw: 128,,,$,R32,Peter Marmureanu (ROU),N/A,"W 6-2, 6-0, 9-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=520&y=1968&r=3&p=L058,Roland Garros,R32,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Peter Marmureanu,Romania,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Roland Garros, France",27.05.1968,GS,Outdoor: Clay,Draw: 128,,,$,R16,Bob Carmichael (AUS),N/A,"W 6-0, 6-1, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=520&y=1968&r=4&p=L058,Roland Garros,R16,0,Rod Laver,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,,Bob Carmichael,Australia,,,,,,,,,,,,,,,,,,,,,,,,
