year,Tournament,Singles Winner,Runner-up,Score,Doubles Winner,Runner-up,Score
1970,Johannesburg,Rod Laver,Frew McMillan,"4–6, 6–2, 6–1, 6–2",,,
1970,Los Angeles,Rod Laver,John Newcombe,"4–6, 6–4, 7–6"," Tom Okker
 Marty Riessen"," Robert Lutz
 Stan Smith","7–6, 6–2"
1970,Monte Carlo,Željko Franulović,Manuel Orantes,"6–4, 6–3, 6–3"," Marty Riessen
 Roger Taylor"," Pierre Barthès
 Nikola Pilić","6–3, 6–4, 6–2"
1970,Rome,Ilie Năstase,Jan Kodeš,"6–3, 1–6, 6–3, 8–6"," Ilie Năstase
 Ion Ţiriac"," William Bowrey
 Owen Davidson","0–6, 10–8, 6–3, 6–8, 6–1"
1970,London,Rod Laver,Cliff Richey,"6–3, 6–4, 7–5"," Ken Rosewall
 Stan Smith"," Ilie Năstase
 Ion Ţiriac","6–4, 6–3, 6–2"
1970,Boston,Tony Roche,Rod Laver,"3–6, 6–4, 1–6, 6–2, 6–2"," Roy Emerson
 Rod Laver"," Ismail El Shafei
 Torben Ulrich","6–1, 7–6"
1970,Stockholm,Stan Smith,Arthur Ashe,"5–7, 6–4, 6–4"," Arthur Ashe
 Stan Smith"," Bob Carmichael
 Owen Davidson","6–0, 5–7, 7–5"
1970,Philadelphia WCT,Rod Laver,Tony Roche,"6–3, 8–6, 6–2"," Ilie Năstase
 Ion Ţiriac"," Arthur Ashe
 Dennis Ralston","6–4, 6–3"
1970,Sydney,Rod Laver,Ken Rosewall,"3–6, 6–2, 3–6, 6–2, 6–3"," Ken Rosewall
 Fred Stolle"," Bill Bowrey
 Roger Taylor","6–3, 7–5"
1971,Johannesburg,Ken Rosewall,Fred Stolle,"6–4, 6–0, 6–4",,,
1971,Los Angeles,Pancho Gonzales,Jimmy Connors,"3–6, 6–3, 6–3"," John Alexander
 Phil Dent"," Frank Froehling
 Clark Graebner","7–6, 6–4"
1971,Monte Carlo,Ilie Năstase,Tom Okker,"3–6, 8–6, 6–1, 6–1"," Ilie Năstase
 Ion Ţiriac"," Tom Okker
 Roger Taylor","1–6, 6–3, 6–3, 8–6"
1971,Rome,Rod Laver,Jan Kodeš,"7–5, 6–3, 6–3"," John Newcombe
 Tony Roche"," Andrés Gimeno
 Roger Taylor","6–4, 6–4"
1971,London,Ilie Năstase,Rod Laver,"3–6, 6–3, 3–6, 6–4, 6–4"," Bob Hewitt
 Frew McMillan"," Bill Bowrey
 Owen Davidson","7–5, 9–7, 6–2"
1971,Boston WCT,Ken Rosewall,Cliff Drysdale,"6–4, 6–3, 6–0"," Roy Emerson
 Rod Laver"," Tom Okker
 Marty Riessen","6–4, 6–4"
1971,Stockholm,Arthur Ashe,Jan Kodeš,"6–1, 3–6, 6–2, 1–6, 6–4"," Stan Smith
 Tom Gorman"," Arthur Ashe
 Bob Lutz","6–4, 6–3"
1971,Philadelphia WCT,John Newcombe,Rod Laver,"7–6(7–5), 7–6(7–1), 6–4",,,(ts) stopped at QF stage
1971,Sydney,Phil Dent,John Alexander,"6–3, 6–4, 6–4"," Phil Dent
 John Alexander"," Mal Anderson
 Alex Metreveli","6–7, 2–6, 6–3, 7–6, 7–6"
1972,Johannesburg,Cliff Richey,Manuel Orantes,"6–4, 7–5, 3–6, 6–4",,,
1972,Los Angeles WCT,Stan Smith,Roscoe Tanner,"6–4, 6–4"," Jimmy Connors
 Pancho Gonzales",,
1972,Monte Carlo,Ilie Năstase,František Pála,"6–1, 6–0, 6–3"," Patrice Beust
 Daniel Contet"," Jiří Hřebec
 František Pala","3–6, 6–1, 12–10, 6–2"
1972,Rome,Manuel Orantes,Jan Kodeš,"4–6, 6–1, 7–5, 6–2"," Ilie Năstase
 Ion Ţiriac"," Lew Hoad
 Frew McMillan","3–6, 3–6, 6–4, 6–3, 5–3, (ret)"
1972,Montreal,Ilie Năstase,Andrew Pattison,"6–4, 6–3"," Ilie Năstase
 Ion Ţiriac"," Jan Kodeš
 Jan Kukal","7-6, 6-3"
1972,Boston WCT,Bob Lutz,Tom Okker,"6–4, 2–6, 6–4, 6–4",,,
1972,Stockholm,Stan Smith,Tom Okker,"6–4, 6–3"," Tom Okker
 Marty Riessen"," Roy Emerson
 Colin Dibley","6–3, 6–2"
1972,Philadelphia WCT,Rod Laver,Ken Rosewall,"4–6, 6–2, 6–2, 6-2"," Arthur Ashe
 Robert Lutz"," John Newcombe
 Tony Roche","6–3, 6–7, 6–3"
1972,Las Vegas,John Newcombe,Cliff Drysdale,"6–3, 6–4"," Roy Emerson
 Rod Laver"," John Newcombe
 Tony Roche",def
1973,Johannesburg,Jimmy Connors,Arthur Ashe,"6–4, 7–6, 6–3"," Arthur Ashe
 Tom Okker"," Lew Hoad
 Bob Maud","6–2, 4–6, 6–2, 6–4"
1973,Los Angeles,Jimmy Connors,Tom Okker,"7–5, 7–6"," Jan Kodeš
 Vladimír Zedník"," Jimmy Connors
 Ilie Năstase","6–2, 6–4"
1973,Monte Carlo,Ilie Năstase,Björn Borg,"6–4, 6–1, 6–2"," Juan Gisbert, Sr.
 Ilie Năstase"," Georges Goven
 Patrick Proisy","6–2, 6–2, 6–2"
