Year,Tournament,Singles Winner,Runner-up,Score,Doubles Winner,Runner-up,Score
1990,Indian Wells,Stefan Edberg,Andre Agassi,"6–4, 5–7, 7–6(7–1), 7–6(8–6)"," Boris Becker
 Guy Forget"," Jim Grabb
 Patrick McEnroe","6–4, 6–3"
1990,Miami,Andre Agassi,Stefan Edberg,"6–1, 6–4, 0–6, 6–2"," Rick Leach
 Jim Pugh"," Boris Becker
 Cassio Motta","6–3, 6–4"
1990,Monte Carlo,Andrei Chesnokov,Thomas Muster,"7–5, 6–3, 6–3"," Petr Korda
 Tomáš Šmíd"," Andrés Gómez
 Javier Sánchez","6–2, 6–1"
1990,Hamburg,Juan Aguilera,Boris Becker,"6–1, 6–0, 7–6(9–7)"," Sergi Bruguera
 Jim Courier"," Udo Riglewski
 Michael Stich","4–6, 6–1, 7–6"
1990,Rome,Thomas Muster,Andrei Chesnokov,"6–1, 6–3, 6–1"," Sergio Casal
 Emilio Sánchez"," Jim Courier
 Martin Davis","7–6, 7–5"
1990,Toronto,Michael Chang,Jay Berger,"4–6, 6–3, 7–6(7–2)"," Paul Annacone
 David Wheaton"," Broderick Dyke
 Peter Lundgren","7–6, 6–1"
1990,Cincinnati,Stefan Edberg,Brad Gilbert,"6–1, 6–1"," Darren Cahill
 Mark Kratzmann"," Neil Broad
 Gary Muller","7–6, 6–4"
1990,Stockholm,Boris Becker,Stefan Edberg,"6–4, 6–0, 6–3"," Guy Forget
 Jakob Hlasek"," John Fitzgerald
 Anders Järryd","6–2, 6–3"
1990,Paris,Stefan Edberg,Boris Becker,"3–3, RET"," Scott Davis
 David Pate"," Darren Cahill
 Mark Kratzmann","7–6, 7–6"
1991,Indian Wells,Jim Courier,Guy Forget,"4–6, 6–3, 4–6, 6–3, 7–6(7–4)"," Jim Courier
 Javier Sánchez"," Guy Forget
 Henri Leconte","7–6, 6–1"
1991,Miami,Jim Courier,David Wheaton,"4–6, 6–3, 6–4"," Wayne Ferreira
 Piet Norval"," Ken Flach
 Robert Seguso","5–7, 7–6, 6–2"
1991,Monte Carlo,Sergi Bruguera,Boris Becker,"5–7, 6–4, 7–6(8–6), 7–6(7–4)"," Luke Jensen
 Laurie Warder"," Paul Haarhuis
 Mark Koevermans","6–4, 6–3"
