tourney_year,tourney_name,tourney_name_slug,tourney_id,tourney_location,tourney_dates,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,player_name,player_slug,player_id,player_event_points,player_ranking,match_round,opponent_name,opponent_name_slug,opponent_player_id,opponent_rank,match_win_loss,match_score,sets_won,sets_lost,sets_total,games_won,games_lost,games_total,tiebreaks_won,tiebreaks_lost,tiebreaks_total,match_time,match_duration,player_aces,player_double_faults,player_first_serves_in,player_first_serves_total,player_first_serve_percentage,player_first_serve_points_won,player_first_serve_points_total,player_first_serve_points_won_percentage,player_second_serve_points_won,player_second_serve_points_total,player_second_serve_points_won_percentage,player_break_points_saved,player_break_points_serve_total,player_break_points_saved_percentage,player_service_points_won,player_service_points_total,player_service_points_won_percentage,player_first_serve_return_won,player_first_serve_return_total,player_first_serve_return_percentage,player_second_serve_return_won,player_second_serve_return_total,player_second_serve_return_won_percentage,player_break_points_converted,player_break_points_return_total,player_break_points_converted_percentage,player_service_games_played,player_return_games_played,player_return_points_won,player_return_points_total,player_total_points_won,player_total_points_total,player_total_points_won_percentage,opponent_aces,opponent_double_faults,opponent_first_serves_in,opponent_first_serves_total,opponent_first_serve_percentage,opponent_first_serve_points_won,opponent_first_serve_points_total,opponent_first_serve_points_won_percentage,opponent_second_serve_points_won,opponent_second_serve_points_total,opponent_second_serve_points_won_percentage,opponent_break_points_saved,opponent_break_points_serve_total,opponent_break_points_saved_percentage,opponent_service_points_won,opponent_service_points_total,opponent_service_points_won_percentage,opponent_first_serve_return_won,opponent_first_serve_return_total,opponent_first_serve_return_percentage,opponent_second_serve_return_won,opponent_second_serve_return_total,opponent_second_serve_return_won_percentage,opponent_break_points_converted,opponent_break_points_return_total,opponent_break_points_converted_percentage,opponent_service_games_played,opponent_return_games_played,opponent_return_points_won,opponent_return_points_total,opponent_total_points_won,opponent_total_points_total,opponent_total_points_won_percentage
2016,Barclays ATP World Tour Finals,atp-finals,605,"London, Great Britain",2016.11.14 - 2016.11.20,8,8,Indoor,Hard,Novak Djokovic,novak-djokovic,d643,1000,2,Finals,Andy Murray,andy-murray,mc10,1,L,36 46,0,2,2,7,12,19,,,,01:43:00,103,1,0,44,61,72,26,44,59,11,17,65,6,9,67,37,61,61,5,32,16,14,27,52,1,1,100,9,10,19,59,56,120,47,3,3,32,59,54,27,32,84,13,27,48,0,1,0,40,59,68,18,44,41,6,17,35,3,9,33,10,9,24,61,64,120,53
2016,Barclays ATP World Tour Finals,atp-finals,605,"London, Great Britain",2016.11.14 - 2016.11.20,8,8,Indoor,Hard,Novak Djokovic,novak-djokovic,d643,1000,2,Semi-Finals,Kei Nishikori,kei-nishikori,n552,5,W,61 61,2,0,2,12,2,14,,,,01:06:00,66,3,1,28,44,64,23,28,82,7,16,44,2,3,67,30,44,68,17,35,49,16,20,80,6,11,55,7,7,33,55,63,99,64,4,1,35,55,64,18,35,51,4,20,20,5,11,45,22,55,40,5,28,18,9,16,56,1,3,33,7,7,14,44,36,99,36
2016,Barclays ATP World Tour Finals,atp-finals,605,"London, Great Britain",2016.11.14 - 2016.11.20,8,8,Indoor,Hard,Novak Djokovic,novak-djokovic,d643,1000,2,Round Robin,David Goffin,david-goffin,gb88,11,W,61 62,2,0,2,12,3,15,,,,01:10:00,70,3,4,35,57,61,29,35,83,8,22,36,1,1,100,37,57,65,9,22,41,16,25,64,4,6,67,8,7,25,47,62,104,60,1,4,22,47,47,13,22,59,9,25,36,2,6,33,22,47,47,6,35,17,14,22,64,0,1,0,7,8,20,57,42,104,40
2016,Barclays ATP World Tour Finals,atp-finals,605,"London, Great Britain",2016.11.14 - 2016.11.20,8,8,Indoor,Hard,Novak Djokovic,novak-djokovic,d643,1000,2,Round Robin,Milos Raonic,milos-raonic,r975,4,W,76(6) 76(5) ,2,0,2,14,12,26,2,0,2,02:14:00,134,2,2,58,90,64,42,58,72,15,32,47,5,7,71,57,90,63,7,45,16,21,33,64,2,2,100,12,12,28,78,85,168,51,14,3,45,78,58,38,45,84,12,33,36,0,2,0,50,78,64,16,58,28,17,32,53,2,7,29,12,12,33,90,83,168,49
2016,Barclays ATP World Tour Finals,atp-finals,605,"London, Great Britain",2016.11.14 - 2016.11.20,8,8,Indoor,Hard,Novak Djokovic,novak-djokovic,d643,1000,2,Round Robin,Dominic Thiem,dominic-thiem,tb69,9,W,67(10) 60 62,2,1,3,18,9,27,0,1,1,02:03:00,123,3,0,54,80,68,39,54,72,20,26,77,1,1,100,59,80,74,21,64,33,21,32,66,5,6,83,13,13,42,96,101,176,57,4,3,64,96,67,43,64,67,11,32,34,1,6,17,54,96,56,15,54,28,6,26,23,0,1,0,13,13,21,80,75,176,43
2016,BNP Paribas Masters,paris,352,"Paris, France",2016.10.31 - 2016.11.06,48,24,Indoor,Hard,Novak Djokovic,novak-djokovic,d643,180,1,Quarter-Finals,Marin Cilic,marin-cilic,c977,10,L,46 67(2) ,0,2,2,10,13,23,0,1,1,01:45:00,105,3,2,43,71,61,30,43,70,13,28,46,5,8,63,43,71,61,10,42,24,15,29,52,2,5,40,11,11,25,71,68,142,48,9,2,42,71,59,32,42,76,14,29,48,3,5,60,46,71,65,13,43,30,15,28,54,3,8,38,11,11,28,71,74,142,52
2016,BNP Paribas Masters,paris,352,"Paris, France",2016.10.31 - 2016.11.06,48,24,Indoor,Hard,Novak Djokovic,novak-djokovic,d643,180,1,Round of 16,Grigor Dimitrov,grigor-dimitrov,d875,18,W,46 62 63,2,1,3,16,11,27,,,,02:24:00,144,5,5,60,94,64,44,60,73,16,34,47,6,8,75,60,94,64,15,52,29,26,43,60,4,6,67,14,13,41,95,101,189,53,6,7,52,95,55,37,52,71,17,43,40,2,6,33,54,95,57,16,60,27,18,34,53,2,8,25,13,14,34,94,88,189,47
2016,BNP Paribas Masters,paris,352,"Paris, France",2016.10.31 - 2016.11.06,48,24,Indoor,Hard,Novak Djokovic,novak-djokovic,d643,180,1,Round of 32,Gilles Muller,gilles-muller,ma30,34,W,63 64,2,0,2,12,7,19,,,,01:21:00,81,3,4,32,55,58,29,32,91,14,23,61,1,1,100,43,55,78,6,36,17,18,27,67,2,4,50,10,9,24,63,67,118,57,5,4,36,63,57,30,36,83,9,27,33,2,4,50,39,63,62,3,32,9,9,23,39,0,1,0,9,10,12,55,51,118,43
2016,Shanghai Rolex Masters,shanghai,5014,"Shanghai, China",2016.10.10 - 2016.10.16,56,24,Outdoor,Hard,Novak Djokovic,novak-djokovic,d643,360,1,Semi-Finals,Roberto Bautista Agut,roberto-bautista-agut,bd06,19,L,46 46,0,2,2,8,12,20,,,,01:48:00,108,4,2,40,60,67,25,40,63,10,20,50,1,5,20,35,60,58,20,56,36,16,30,53,2,9,22,10,10,36,86,71,146,49,5,1,56,86,65,36,56,64,14,30,47,7,9,78,50,86,58,15,40,38,10,20,50,4,5,80,10,10,25,60,75,146,51
2016,Shanghai Rolex Masters,shanghai,5014,"Shanghai, China",2016.10.10 - 2016.10.16,56,24,Outdoor,Hard,Novak Djokovic,novak-djokovic,d643,360,1,Quarter-Finals,Mischa Zverev,mischa-zverev,z168,110,W,36 76(4) 63,2,1,3,16,15,31,1,0,1,02:20:00,140,4,6,55,103,53,41,55,75,24,48,50,5,9,56,65,103,63,18,63,29,15,25,60,3,9,33,16,14,33,88,98,191,51,8,1,63,88,72,45,63,71,10,25,40,6,9,67,55,88,63,14,55,25,24,48,50,4,9,44,14,16,38,103,93,191,49
