tourney_year,tourney_name,tourney_name_slug,tourney_id,tourney_location,tourney_dates,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,player_name,player_slug,player_id,player_event_points,player_ranking,match_round,opponent_name,opponent_name_slug,opponent_player_id,opponent_rank,match_win_loss,match_score,sets_won,sets_lost,sets_total,games_won,games_lost,games_total,tiebreaks_won,tiebreaks_lost,tiebreaks_total,match_time,match_duration,player_aces,player_double_faults,player_first_serves_in,player_first_serves_total,player_first_serve_points_won,player_first_serve_points_total,player_second_serve_points_won,player_second_serve_points_total,player_break_points_saved,player_break_points_serve_total,player_service_points_won,player_service_points_total,player_first_serve_return_won,player_first_serve_return_total,player_second_serve_return_won,player_second_serve_return_total,player_break_points_converted,player_break_points_return_total,player_service_games_played,player_return_games_played,player_return_points_won,player_return_points_total,player_total_points_won,player_total_points_total,opponent_aces,opponent_double_faults,opponent_first_serves_in,opponent_first_serves_total,opponent_first_serve_points_won,opponent_first_serve_points_total,opponent_second_serve_points_won,opponent_second_serve_points_total,opponent_break_points_saved,opponent_break_points_serve_total,opponent_service_points_won,opponent_service_points_total,opponent_first_serve_return_won,opponent_first_serve_return_total,opponent_second_serve_return_won,opponent_second_serve_return_total,opponent_break_points_converted,opponent_break_points_return_total,opponent_service_games_played,opponent_return_games_played,opponent_return_points_won,opponent_return_points_total,opponent_total_points_won,opponent_total_points_total
2003,Serbia F6,,,"Beograd, Serbia",2003.07.28 - 2003.08.03,32,16,Outdoor,Clay,Novak Djokovic,novak-djokovic,d643,4,709,Semi-Finals,Nicolas Renavand,nicolas-renavand,r588,785,L,46 67(1) ,0,2,2,10,13,23,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Serbia F6,,,"Beograd, Serbia",2003.07.28 - 2003.08.03,32,16,Outdoor,Clay,Novak Djokovic,novak-djokovic,d643,4,709,Quarter-Finals,Ivan Cerovic,ivan-cerovic,c759,666,W,63 62,2,0,2,12,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Serbia F6,,,"Beograd, Serbia",2003.07.28 - 2003.08.03,32,16,Outdoor,Clay,Novak Djokovic,novak-djokovic,d643,4,709,Round of 16,Domenic Marafiote,domenic-marafiote,m810,566,W,76(7) (RET),1,0,2,7,6,13,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Serbia F6,,,"Beograd, Serbia",2003.07.28 - 2003.08.03,32,16,Outdoor,Clay,Novak Djokovic,novak-djokovic,d643,4,709,Round of 32,Gerard Solves,gerard-solves,s523,-,W,63 75,2,0,2,13,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Serbia F5,,,"Beograd, Serbia",2003.07.21 - 2003.07.27,32,16,Outdoor,Clay,Novak Djokovic,novak-djokovic,d643,0,774,Round of 32,Mohamed Mamoun,mohamed-mamoun,m917,604,L,76(5) 57 02 (RET),1,2,4,12,15,27,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Serbia F4,,,"Beograd, Serbia",2003.07.14 - 2003.07.20,32,16,Outdoor,Clay,Novak Djokovic,novak-djokovic,d643,4,768,Semi-Finals,Todor Enev,todor-enev,e168,415,L,16 36,0,2,2,4,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Serbia F4,,,"Beograd, Serbia",2003.07.14 - 2003.07.20,32,16,Outdoor,Clay,Novak Djokovic,novak-djokovic,d643,4,768,Quarter-Finals,Christopher Koderisch,christopher-koderisch,k696,952,W,61 63,2,0,2,12,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Serbia F4,,,"Beograd, Serbia",2003.07.14 - 2003.07.20,32,16,Outdoor,Clay,Novak Djokovic,novak-djokovic,d643,4,768,Round of 16,Ivan Bjelica,ivan-bjelica,bb20,1079,W,60 63,2,0,2,12,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Serbia F4,,,"Beograd, Serbia",2003.07.14 - 2003.07.20,32,16,Outdoor,Clay,Novak Djokovic,novak-djokovic,d643,4,768,Round of 32,Domenic Marafiote,domenic-marafiote,m810,559,W,62 63,2,0,2,12,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Serbia F3,,,Serbia & Montenegro,2003.06.23 - 2003.06.29,32,16,Outdoor,Hard,Novak Djokovic,novak-djokovic,d643,12,0,Finals,Cesar Ferrer-Victoria,cesar-ferrer-victoria,f351,973,W,64 75,2,0,2,13,9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Serbia F3,,,Serbia & Montenegro,2003.06.23 - 2003.06.29,32,16,Outdoor,Hard,Novak Djokovic,novak-djokovic,d643,12,0,Semi-Finals,Jaroslav Pospisil,jaroslav-pospisil,p605,559,W,46 75 75,2,1,3,18,16,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
