tourney_year,tourney_name,tourney_name_slug,tourney_id,tourney_location,tourney_dates,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,player_name,player_slug,player_id,player_event_points,player_ranking,match_round,opponent_name,opponent_name_slug,opponent_player_id,opponent_rank,match_win_loss,match_score,sets_won,sets_lost,sets_total,games_won,games_lost,games_total,tiebreaks_won,tiebreaks_lost,tiebreaks_total,match_time,match_duration,player_aces,player_double_faults,player_first_serves_in,player_first_serves_total,player_first_serve_percentage,player_first_serve_points_won,player_first_serve_points_total,player_first_serve_points_won_percentage,player_second_serve_points_won,player_second_serve_points_total,player_second_serve_points_won_percentage,player_break_points_saved,player_break_points_serve_total,player_break_points_saved_percentage,player_service_points_won,player_service_points_total,player_service_points_won_percentage,player_first_serve_return_won,player_first_serve_return_total,player_first_serve_return_percentage,player_second_serve_return_won,player_second_serve_return_total,player_second_serve_return_won_percentage,player_break_points_converted,player_break_points_return_total,player_break_points_converted_percentage,player_service_games_played,player_return_games_played,player_return_points_won,player_return_points_total,player_total_points_won,player_total_points_total,player_total_points_won_percentage,opponent_aces,opponent_double_faults,opponent_first_serves_in,opponent_first_serves_total,opponent_first_serve_percentage,opponent_first_serve_points_won,opponent_first_serve_points_total,opponent_first_serve_points_won_percentage,opponent_second_serve_points_won,opponent_second_serve_points_total,opponent_second_serve_points_won_percentage,opponent_break_points_saved,opponent_break_points_serve_total,opponent_break_points_saved_percentage,opponent_service_points_won,opponent_service_points_total,opponent_service_points_won_percentage,opponent_first_serve_return_won,opponent_first_serve_return_total,opponent_first_serve_return_percentage,opponent_second_serve_return_won,opponent_second_serve_return_total,opponent_second_serve_return_won_percentage,opponent_break_points_converted,opponent_break_points_return_total,opponent_break_points_converted_percentage,opponent_service_games_played,opponent_return_games_played,opponent_return_points_won,opponent_return_points_total,opponent_total_points_won,opponent_total_points_total,opponent_total_points_won_percentage
2013,Barclays ATP World Tour Finals,barclays-atp-world-tour-finals,605,"London, Great Britain",2013.11.04 - 2013.11.11,8,8,Indoor,Hard,Roger Federer,roger-federer,f324,400,7,Semi-Finals,Rafael Nadal,rafael-nadal,n409,1,L,57 36,0,2,2,8,13,21,,,,01:20:00,80,6,1,39,59,66,27,39,69,8,20,40,0,4,0,35,59,59,11,43,26,4,13,31,1,4,25,11,10,15,56,50,115,43,2,0,43,56,77,32,43,74,9,13,69,3,4,75,41,56,73,12,39,31,12,20,60,4,4,100,10,11,24,59,65,115,57
2013,Barclays ATP World Tour Finals,barclays-atp-world-tour-finals,605,"London, Great Britain",2013.11.04 - 2013.11.11,8,8,Indoor,Hard,Roger Federer,roger-federer,f324,400,7,Round Robin,Juan Martin del Potro,juan-martin-del-potro,d683,5,W,46 76(2) 75,2,1,3,18,17,35,1,0,1,02:27:00,147,10,1,64,98,65,51,64,80,17,34,50,4,8,50,68,98,69,21,60,35,18,41,44,4,8,50,17,17,39,101,107,199,54,7,2,60,101,59,39,60,65,23,41,56,4,8,50,62,101,61,13,64,20,17,34,50,4,8,50,17,17,30,98,92,199,46
2013,Barclays ATP World Tour Finals,barclays-atp-world-tour-finals,605,"London, Great Britain",2013.11.04 - 2013.11.11,8,8,Indoor,Hard,Roger Federer,roger-federer,f324,400,7,Round Robin,Richard Gasquet,richard-gasquet,g628,9,W,64 63,2,0,2,12,7,19,,,,01:22:00,82,6,1,48,64,75,33,48,69,9,16,56,5,6,83,42,64,66,19,40,48,12,27,44,4,11,36,9,10,31,67,73,131,56,0,3,40,67,60,21,40,53,15,27,56,7,11,64,36,67,54,15,48,31,7,16,44,1,6,17,10,9,22,64,58,131,44
2013,Barclays ATP World Tour Finals,barclays-atp-world-tour-finals,605,"London, Great Britain",2013.11.04 - 2013.11.11,8,8,Indoor,Hard,Roger Federer,roger-federer,f324,400,7,Round Robin,Novak Djokovic,novak-djokovic,d643,2,L,46 76(2) 26,1,2,3,13,18,31,1,0,1,02:22:00,142,5,5,56,103,54,37,56,66,23,47,49,6,11,55,60,103,58,17,57,30,21,44,48,2,5,40,15,15,38,101,98,204,48,9,2,57,101,56,40,57,70,23,44,52,3,5,60,63,101,62,19,56,34,24,47,51,5,11,45,15,15,43,103,106,204,52
2013,ATP World Tour Masters 1000 Paris,paris,352,"Paris, France",2013.10.28 - 2013.11.03,48,24,Indoor,Hard,Roger Federer,roger-federer,f324,360,6,Semi-Finals,Novak Djokovic,novak-djokovic,d643,2,L,64 36 26,1,2,3,11,16,27,,,,02:01:00,121,5,4,59,89,66,40,59,68,12,30,40,6,10,60,52,89,58,17,60,28,15,32,47,2,5,40,13,14,32,92,84,181,46,7,5,60,92,65,43,60,72,17,32,53,3,5,60,60,92,65,19,59,32,18,30,60,4,10,40,14,13,37,89,97,181,54
2013,ATP World Tour Masters 1000 Paris,paris,352,"Paris, France",2013.10.28 - 2013.11.03,48,24,Indoor,Hard,Roger Federer,roger-federer,f324,360,6,Quarter-Finals,Juan Martin del Potro,juan-martin-del-potro,d683,5,W,63 46 63,2,1,3,16,12,28,,,,01:44:00,104,6,0,47,69,68,39,47,83,14,22,64,2,4,50,53,69,77,20,54,37,15,29,52,4,6,67,14,14,35,83,88,152,58,3,2,54,83,65,34,54,63,14,29,48,2,6,33,48,83,58,8,47,17,8,22,36,2,4,50,14,14,16,69,64,152,42
2013,ATP World Tour Masters 1000 Paris,paris,352,"Paris, France",2013.10.28 - 2013.11.03,48,24,Indoor,Hard,Roger Federer,roger-federer,f324,360,6,Round of 16,Philipp Kohlschreiber,philipp-kohlschreiber,k435,23,W,63 64,2,0,2,12,7,19,,,,01:04:00,64,8,1,41,55,75,35,41,85,7,14,50,3,3,100,42,55,76,9,34,26,12,22,55,2,4,50,10,9,21,56,63,111,57,5,3,34,56,61,25,34,74,10,22,45,2,4,50,35,56,63,6,41,15,7,14,50,0,3,0,9,10,13,55,48,111,43
2013,ATP World Tour Masters 1000 Paris,paris,352,"Paris, France",2013.10.28 - 2013.11.03,48,24,Indoor,Hard,Roger Federer,roger-federer,f324,360,6,Round of 32,Kevin Anderson,kevin-anderson,a678,21,W,64 64,2,0,2,12,8,20,,,,01:23:00,83,7,0,39,62,63,29,39,74,13,23,57,5,6,83,42,62,68,11,38,29,16,27,59,3,8,38,10,10,27,65,69,127,54,9,5,38,65,58,27,38,71,11,27,41,5,8,63,38,65,58,10,39,26,10,23,43,1,6,17,10,10,20,62,58,127,46
2013,Basel,basel,328,"Basel, Switzerland",2013.10.21 - 2013.10.27,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,300,6,Finals,Juan Martin del Potro,juan-martin-del-potro,d683,5,L,67(3) 62 46,1,2,3,16,15,31,0,1,1,02:20:00,140,14,5,61,101,60,46,61,75,19,40,48,4,6,67,65,101,64,12,54,22,19,37,51,3,6,50,15,15,31,91,96,192,50,8,4,54,91,59,42,54,78,18,37,49,3,6,50,60,91,66,15,61,25,21,40,53,2,6,33,15,15,36,101,96,192,50
2013,Basel,basel,328,"Basel, Switzerland",2013.10.21 - 2013.10.27,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,300,6,Semi-Finals,Vasek Pospisil,vasek-pospisil,pd07,40,W,63 67(3) 75,2,1,3,19,15,34,0,1,1,02:40:00,160,4,1,60,107,56,44,60,73,26,47,55,2,4,50,70,107,65,13,50,26,38,68,56,5,11,45,16,17,51,118,121,225,54,11,5,50,118,42,37,50,74,30,68,44,6,11,55,67,118,57,16,60,27,21,47,45,2,4,50,17,16,37,107,104,225,46
