year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
2003,"Serbia F6, Beograd",28.07.2003,FU,Outdoor: Clay,Draw: 32,4,709,$480,R32,Gerard Solves (FRA),N/A,"W 6-3, 7-5",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1748&y=2003&r=3&p=D643,Serbia F6,R32,0,Novak Djokovic,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Gerard Solves,France,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Serbia F6, Beograd",28.07.2003,FU,Outdoor: Clay,Draw: 32,4,709,$480,R16,Domenic Marafiote (AUS),566,W 7-6(7) RET,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1748&y=2003&r=4&p=D643,Serbia F6,R16,0,Novak Djokovic,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Domenic Marafiote,Australia,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Serbia F6, Beograd",28.07.2003,FU,Outdoor: Clay,Draw: 32,4,709,$480,Q,Ivan Cerovic (CRO),666,"W 6-3, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1748&y=2003&r=5&p=D643,Serbia F6,Q,0,Novak Djokovic,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Ivan Cerovic,Croatia,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Serbia F6, Beograd",28.07.2003,FU,Outdoor: Clay,Draw: 32,4,709,$480,S,Nicolas Renavand (FRA),785,"L 4-6, 6-7(1)",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1748&y=2003&r=6&p=D643,Serbia F6,S,0,Nicolas Renavand,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Nicolas Renavand,France,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Serbia F5, Beograd",21.07.2003,FU,Outdoor: Clay,Draw: 32,,774,$118,R32,Mohamed Mamoun (EGY),604,"L 7-6(5), 5-7, 0-2 RET",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1747&y=2003&r=3&p=D643,Serbia F5,R32,0,Mohamed Mamoun,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Mohamed Mamoun,Egypt,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Serbia F4, Beograd",14.07.2003,FU,Outdoor: Clay,Draw: 32,4,768,$480,R32,Domenic Marafiote (AUS),559,"W 6-2, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1746&y=2003&r=3&p=D643,Serbia F4,R32,0,Novak Djokovic,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Domenic Marafiote,Australia,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Serbia F4, Beograd",14.07.2003,FU,Outdoor: Clay,Draw: 32,4,768,$480,R16,Ivan Bjelica (SRB),"1,079","W 6-0, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1746&y=2003&r=4&p=D643,Serbia F4,R16,0,Novak Djokovic,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Ivan Bjelica,Serbia,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Serbia F4, Beograd",14.07.2003,FU,Outdoor: Clay,Draw: 32,4,768,$480,Q,Christopher Koderisch (GER),952,"W 6-1, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1746&y=2003&r=5&p=D643,Serbia F4,Q,0,Novak Djokovic,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Christopher Koderisch,Germany,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Serbia F4, Beograd",14.07.2003,FU,Outdoor: Clay,Draw: 32,4,768,$480,S,Todor Enev (BUL),415,"L 1-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1746&y=2003&r=6&p=D643,Serbia F4,S,0,Todor Enev,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Todor Enev,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Serbia F3, Serbia & Montenegro",23.06.2003,FU,Outdoor: Hard,Draw: 32,12,,"$1,300",R32,Darko Madjarovski (SRB),451,"W 6-3, 6-7(2), 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1734&y=2003&r=3&p=D643,Serbia F3,R32,0,Novak Djokovic,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Darko Madjarovski,Serbia,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Serbia F3, Serbia & Montenegro",23.06.2003,FU,Outdoor: Hard,Draw: 32,12,,"$1,300",R16,Daniel Sebescen (YUG),"1,353","W 6-2, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1734&y=2003&r=4&p=D643,Serbia F3,R16,0,Novak Djokovic,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Sebescen,Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Serbia F3, Serbia & Montenegro",23.06.2003,FU,Outdoor: Hard,Draw: 32,12,,"$1,300",Q,Goran Tosic (MNE),"1,021",W  W/O,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1734&y=2003&r=5&p=D643,Serbia F3,Q,0,Novak Djokovic,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Goran Tosic,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Serbia F3, Serbia & Montenegro",23.06.2003,FU,Outdoor: Hard,Draw: 32,12,,"$1,300",S,Jaroslav Pospisil (CZE),559,"W 4-6, 7-5, 7-5",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1734&y=2003&r=6&p=D643,Serbia F3,S,0,Novak Djokovic,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Jaroslav Pospisil,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Serbia F3, Serbia & Montenegro",23.06.2003,FU,Outdoor: Hard,Draw: 32,12,,"$1,300",W,Cesar Ferrer-Victoria (ESP),973,"W 6-4, 7-5",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1734&y=2003&r=7&p=D643,Serbia F3,F,0,Novak Djokovic,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Ferrer-Victoria,Spain,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Serbia F2, Serbia & Montenegro",16.06.2003,FU,Outdoor: Hard,Draw: 32,,,$118,R32,Manuel Jorquera (ITA),796,"L 6-4, 6-7(7), 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1733&y=2003&r=3&p=D643,Serbia F2,R32,0,Manuel Jorquera,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Manuel Jorquera,Italy,,,,,,,,,,,,,,,,,,,,,,,,
2003,"Germany F1A, Munich, Germany",06.01.2003,FU,Indoor: Hard,Draw: 32,,,$118,R32,Alex Radulescu (GER),664,"L 5-7, 6-7(5)",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1686&y=2003&r=3&p=D643,Germany F1A,R32,0,Alex Radulescu,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Alex Radulescu,Germany,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Helsinki, Finland",15.11.2004,CH,Indoor: Hard,Draw: 32,5,184,$860,R32,Leonardo Azzaro (ITA),187,"W 7-6(3), 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=305&y=2004&r=3&p=D643,Helsinki,R32,0,Novak Djokovic,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Leonardo Azzaro,Italy,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Helsinki, Finland",15.11.2004,CH,Indoor: Hard,Draw: 32,5,184,$860,R16,Takao Suzuki (JPN),214,"L 6-7(7), 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=305&y=2004&r=4&p=D643,Helsinki,R16,0,Takao Suzuki,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Takao Suzuki,Japan,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Bratislava, Slovak Republic",08.11.2004,CH,Indoor: Carpet,Draw: 32,8,188,"$1,720",R32,Michal Mertinak (SVK),185,"W 6-3, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=444&y=2004&r=3&p=D643,Bratislava,R32,0,Novak Djokovic,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Michal Mertinak,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Bratislava, Slovak Republic",08.11.2004,CH,Indoor: Carpet,Draw: 32,8,188,"$1,720",R16,Dominik Hrbaty (SVK),14,"L 4-6, 5-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=444&y=2004&r=4&p=D643,Bratislava,R16,0,Dominik Hrbaty,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Dominik Hrbaty,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Aachen, Germany",01.11.2004,CH,Indoor: Carpet,Draw: 32,63,242,"$7,200",R32,Stanislas Wawrinka (SUI),159,"W 6-2, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=824&y=2004&r=3&p=D643,Aachen,R32,0,Novak Djokovic,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Stanislas Wawrinka,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Aachen, Germany",01.11.2004,CH,Indoor: Carpet,Draw: 32,63,242,"$7,200",R16,Dick Norman (BEL),157,"W 7-6(4), 4-6, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=824&y=2004&r=4&p=D643,Aachen,R16,0,Novak Djokovic,Novak Djokovic,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Dick Norman,Belgium,,,,,,,,,,,,,,,,,,,,,,,,
