tourney_year,tourney_name,tourney_name_slug,tourney_id,tourney_location,tourney_dates,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,player_name,player_slug,player_id,player_event_points,player_ranking,match_round,opponent_name,opponent_name_slug,opponent_player_id,opponent_rank,match_win_loss,match_score,sets_won,sets_lost,sets_total,games_won,games_lost,games_total,tiebreaks_won,tiebreaks_lost,tiebreaks_total,match_time,match_duration,player_aces,player_double_faults,player_first_serves_in,player_first_serves_total,player_first_serve_points_won,player_first_serve_points_total,player_second_serve_points_won,player_second_serve_points_total,player_break_points_saved,player_break_points_serve_total,player_service_points_won,player_service_points_total,player_first_serve_return_won,player_first_serve_return_total,player_second_serve_return_won,player_second_serve_return_total,player_break_points_converted,player_break_points_return_total,player_service_games_played,player_return_games_played,player_return_points_won,player_return_points_total,player_total_points_won,player_total_points_total,opponent_aces,opponent_double_faults,opponent_first_serves_in,opponent_first_serves_total,opponent_first_serve_points_won,opponent_first_serve_points_total,opponent_second_serve_points_won,opponent_second_serve_points_total,opponent_break_points_saved,opponent_break_points_serve_total,opponent_service_points_won,opponent_service_points_total,opponent_first_serve_return_won,opponent_first_serve_return_total,opponent_second_serve_return_won,opponent_second_serve_return_total,opponent_break_points_converted,opponent_break_points_return_total,opponent_service_games_played,opponent_return_games_played,opponent_return_points_won,opponent_return_points_total,opponent_total_points_won,opponent_total_points_total
2003,Spain F28,,,"Gran Canaria, Spain",2003.11.24 - 2003.11.30,32,16,Outdoor,Clay,Andy Murray,andy-murray,mc10,1,542,Round of 16,Jan Masik,jan-masik,ma04,403,L,06 06,0,2,2,0,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Spain F28,,,"Gran Canaria, Spain",2003.11.24 - 2003.11.30,32,16,Outdoor,Clay,Andy Murray,andy-murray,mc10,1,542,Round of 32,Emilio Benfele Alvarez,emilio-benfele-alvarez,a190,409,W,76(2) 63,2,0,2,13,9,22,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Nottingham,,,"Nottingham, England",2003.10.27 - 2003.11.02,32,16,Indoor,Hard,Andy Murray,andy-murray,mc10,5,579,Round of 16,Massimo Dell'Acqua,massimo-dellacqua,d361,177,L,46 36,0,2,2,7,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Nottingham,,,"Nottingham, England",2003.10.27 - 2003.11.02,32,16,Indoor,Hard,Andy Murray,andy-murray,mc10,5,579,Round of 32,James Auckland,james-auckland,a373,485,W,64 60,2,0,2,12,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Great Britain F11,,,"Edinburgh, Great Britain",2003.09.29 - 2003.10.05,32,16,Indoor,Hard,Andy Murray,andy-murray,mc10,6,783,Semi-Finals,Mark Hilton,mark-hilton,h448,415,L,26 16,0,2,2,3,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Great Britain F11,,,"Edinburgh, Great Britain",2003.09.29 - 2003.10.05,32,16,Indoor,Hard,Andy Murray,andy-murray,mc10,6,783,Quarter-Finals,Martin Slanar,martin-slanar,s893,524,W,64 76(5) ,2,0,2,13,10,23,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Great Britain F11,,,"Edinburgh, Great Britain",2003.09.29 - 2003.10.05,32,16,Indoor,Hard,Andy Murray,andy-murray,mc10,6,783,Round of 16,Jamie Delgado,jamie-delgado,d289,430,W,62 67(6) 76(5) ,2,1,3,19,15,34,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Great Britain F11,,,"Edinburgh, Great Britain",2003.09.29 - 2003.10.05,32,16,Indoor,Hard,Andy Murray,andy-murray,mc10,6,783,Round of 32,Matt Brown,matt-brown,ba70,-,W,63 61,2,0,2,12,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Great Britain F10,,,"Glasgow, Great Britain",2003.09.22 - 2003.09.28,32,16,Indoor,Hard,Andy Murray,andy-murray,mc10,12,785,Finals,Steve Darcis,steve-darcis,d632,622,W,63 36 63,2,1,3,15,12,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Great Britain F10,,,"Glasgow, Great Britain",2003.09.22 - 2003.09.28,32,16,Indoor,Hard,Andy Murray,andy-murray,mc10,12,785,Semi-Finals,Oliver Freelove,oliver-freelove,f309,660,W,64 64,2,0,2,12,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Great Britain F10,,,"Glasgow, Great Britain",2003.09.22 - 2003.09.28,32,16,Indoor,Hard,Andy Murray,andy-murray,mc10,12,785,Quarter-Finals,Mischa Zverev,mischa-zverev,z168,828,W,62 61,2,0,2,12,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Great Britain F10,,,"Glasgow, Great Britain",2003.09.22 - 2003.09.28,32,16,Indoor,Hard,Andy Murray,andy-murray,mc10,12,785,Round of 16,Andrew Banks,andrew-banks,b848,1109,W,64 67(3) 63,2,1,3,18,14,32,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Great Britain F10,,,"Glasgow, Great Britain",2003.09.22 - 2003.09.28,32,16,Indoor,Hard,Andy Murray,andy-murray,mc10,12,785,Round of 32,Richard Bloomfield,richard-bloomfield,b977,446,W,62 63,2,0,2,12,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Great Britain F9,,,"Sunderland, England",2003.09.15 - 2003.09.21,32,16,Indoor,Hard,Andy Murray,andy-murray,mc10,0,780,Round of 32,Thomas Greenland,thomas-greenland,g500,1411,L,64 46 46,1,2,3,14,16,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Great Britain F7,,,"Bath, Great Britain",2003.08.04 - 2003.08.10,32,16,Indoor,Hard,Andy Murray,andy-murray,mc10,0,754,Round of 32,Marco Pedrini,marco-pedrini,p506,858,L,46 16,0,2,2,5,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Segovia,,,"Segovia, Spain",2003.07.28 - 2003.08.03,32,16,Outdoor,Hard,Andy Murray,andy-murray,mc10,1,774,Round of 32,Fernando Verdasco,fernando-verdasco,v306,113,L,16 36,0,2,2,4,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Manchester,,,"Manchester, England",2003.07.14 - 2003.07.20,32,16,Outdoor,Grass,Andy Murray,andy-murray,mc10,12,0,Quarter-Finals,Luke Bourgeois,luke-bourgeois,b600,329,L,36 26,0,2,2,5,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Manchester,,,"Manchester, England",2003.07.14 - 2003.07.20,32,16,Outdoor,Grass,Andy Murray,andy-murray,mc10,12,0,Round of 16,Neville Godwin,neville-godwin,g288,310,W,75 61,2,0,2,13,6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
