tourney_year,tourney_name,tourney_name_slug,tourney_id,tourney_location,tourney_dates,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,player_name,player_slug,player_id,player_event_points,player_ranking,match_round,opponent_name,opponent_name_slug,opponent_player_id,opponent_rank,match_win_loss,match_score,sets_won,sets_lost,sets_total,games_won,games_lost,games_total,tiebreaks_won,tiebreaks_lost,tiebreaks_total,match_time,match_duration,player_aces,player_double_faults,player_first_serves_in,player_first_serves_total,player_first_serve_points_won,player_first_serve_points_total,player_second_serve_points_won,player_second_serve_points_total,player_break_points_saved,player_break_points_serve_total,player_service_points_won,player_service_points_total,player_first_serve_return_won,player_first_serve_return_total,player_second_serve_return_won,player_second_serve_return_total,player_break_points_converted,player_break_points_return_total,player_service_games_played,player_return_games_played,player_return_points_won,player_return_points_total,player_total_points_won,player_total_points_total,opponent_aces,opponent_double_faults,opponent_first_serves_in,opponent_first_serves_total,opponent_first_serve_points_won,opponent_first_serve_points_total,opponent_second_serve_points_won,opponent_second_serve_points_total,opponent_break_points_saved,opponent_break_points_serve_total,opponent_service_points_won,opponent_service_points_total,opponent_first_serve_return_won,opponent_first_serve_return_total,opponent_second_serve_return_won,opponent_second_serve_return_total,opponent_break_points_converted,opponent_break_points_return_total,opponent_service_games_played,opponent_return_games_played,opponent_return_points_won,opponent_return_points_total,opponent_total_points_won,opponent_total_points_total
1988,Detroit,,,"Detroit, MI, U.S.A.",1988.11.14 - 1988.11.20,32,16,Indoor,Carpet,Pete Sampras,pete-sampras,s402,52,127,Quarter-Finals,Leif Shiras,leif-shiras,s045,133,L,46 61 36,1,2,3,13,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Detroit,,,"Detroit, MI, U.S.A.",1988.11.14 - 1988.11.20,32,16,Indoor,Carpet,Pete Sampras,pete-sampras,s402,52,127,Round of 16,Tim Mayotte,tim-mayotte,m041,8,W,63 64,2,0,2,12,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Detroit,,,"Detroit, MI, U.S.A.",1988.11.14 - 1988.11.20,32,16,Indoor,Carpet,Pete Sampras,pete-sampras,s402,52,127,Round of 32,Bill Scanlon,bill-scanlon,s017,201,W,67 63 64,2,1,3,18,14,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Scottsdale,,,"Scottsdale, AZ, U.S.A.",1988.10.03 - 1988.10.09,32,16,Outdoor,Hard,Pete Sampras,pete-sampras,s402,16,157,Round of 16,Kevin Curren,kevin-curren,c057,23,L,76 67 67,1,2,3,19,20,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Scottsdale,,,"Scottsdale, AZ, U.S.A.",1988.10.03 - 1988.10.09,32,16,Outdoor,Hard,Pete Sampras,pete-sampras,s402,16,157,Round of 32,Jim Courier,jim-courier,c243,79,W,63 61,2,0,2,12,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Los Angeles,,,"Los Angeles, CA, U.S.A.",1988.09.19 - 1988.09.25,32,16,Outdoor,Hard,Pete Sampras,pete-sampras,s402,14,190,Round of 16,David Pate,david-pate,p012,32,L,36 67,0,2,2,9,13,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Los Angeles,,,"Los Angeles, CA, U.S.A.",1988.09.19 - 1988.09.25,32,16,Outdoor,Hard,Pete Sampras,pete-sampras,s402,14,190,Round of 32,Peter Doohan,peter-doohan,d036,184,W,36 63 63,2,1,3,15,12,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,US Open,us-open,560,"New York, NY, U.S.A.",1988.08.29 - 1988.09.11,128,64,Outdoor,Hard,Pete Sampras,pete-sampras,s402,1,188,Round of 128,Jaime Yzaga,jaime-yzaga,y017,69,L,76 76 46 57 26,2,3,5,25,31,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Rye Brook,,,"Rye Brook, NY, U.S.A.",1988.08.22 - 1988.08.28,32,16,Outdoor,Hard,Pete Sampras,pete-sampras,s402,13,206,Round of 16,Jeremy Bates,jeremy-bates,b021,92,L,76 36 36,1,2,3,13,18,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Rye Brook,,,"Rye Brook, NY, U.S.A.",1988.08.22 - 1988.08.28,32,16,Outdoor,Hard,Pete Sampras,pete-sampras,s402,13,206,Round of 32,Michiel Schapers,michiel-schapers,s021,39,W,75 76,2,0,2,14,11,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
