year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1971,"Stockholm Open, Sweden",01.11.1971,GP,Indoor: Hard,Draw: 64,,,$,R64,Zeljko Franulovic (CRO),N/A,"L 6-4, 3-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1971&r=2&p=B058,Stockholm Open,R64,0,Zeljko Franulovic,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Zeljko Franulovic,Croatia,,,,,,,,,,,,,,,,,,,,,,,,
1972,"Stockholm, Sweden",12.11.1972,GP,Indoor: Hard,Draw: 64,,,$,R64,Pekka Saila (FIN),N/A,"W 7-5, 7-5",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1972&r=2&p=B058,Stockholm,R64,0,Bjorn Borg,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Pekka Saila,Finland,,,,,,,,,,,,,,,,,,,,,,,,
1972,"Stockholm, Sweden",12.11.1972,GP,Indoor: Hard,Draw: 64,,,$,R32,Andres Gimeno (ESP),N/A,"W 6-2, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1972&r=3&p=B058,Stockholm,R32,0,Bjorn Borg,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Andres Gimeno,Spain,,,,,,,,,,,,,,,,,,,,,,,,
1972,"Stockholm, Sweden",12.11.1972,GP,Indoor: Hard,Draw: 64,,,$,R16,Andrew Pattison (USA),N/A,"L 6-4, 2-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1972&r=4&p=B058,Stockholm,R16,0,Andrew Pattison,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Pattison,United States,,,,,,,,,,,,,,,,,,,,,,,,
1972,"Gothenberg WCT, Sweden",05.11.1972,GP,Indoor: Carpet,Draw: 32,,,$,R32,Charlie Pasarell (USA),N/A,"W 7-6, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=508&y=1972&r=3&p=B058,Gothenberg WCT,R32,0,Bjorn Borg,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Charlie Pasarell,United States,,,,,,,,,,,,,,,,,,,,,,,,
1972,"Gothenberg WCT, Sweden",05.11.1972,GP,Indoor: Carpet,Draw: 32,,,$,R16,Mark Cox (GBR),N/A,"L 3-6, 7-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=508&y=1972&r=4&p=B058,Gothenberg WCT,R16,0,Mark Cox,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Mark Cox,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,
1972,"Albany, Albany, CA, U.S.A.",25.09.1972,GP,Outdoor: Carpet,Draw: 64,,,$,R64,Peter Campbell (AUS),N/A,W ,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=1972&r=2&p=B058,Albany,R64,0,Bjorn Borg,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Peter Campbell,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1972,"Albany, Albany, CA, U.S.A.",25.09.1972,GP,Outdoor: Carpet,Draw: 64,,,$,R32,Rick Fisher (USA),N/A,W  W/O,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=1972&r=3&p=B058,Albany,R32,0,Bjorn Borg,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Rick Fisher,United States,,,,,,,,,,,,,,,,,,,,,,,,
1972,"Albany, Albany, CA, U.S.A.",25.09.1972,GP,Outdoor: Carpet,Draw: 64,,,$,R16,Roscoe Tanner (USA),N/A,"L 3-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=1972&r=4&p=B058,Albany,R16,0,Roscoe Tanner,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Roscoe Tanner,United States,,,,,,,,,,,,,,,,,,,,,,,,
1972,"Sacramento, CA, U.S.A.",17.09.1972,GP,Outdoor: ,Draw: 32,,,$,R32,Raul Ramirez (MEX),N/A,"L 4-6, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=654&y=1972&r=3&p=B058,Sacramento,R32,0,Raul Ramirez,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Raul Ramirez,Mexico,,,,,,,,,,,,,,,,,,,,,,,,
1972,"Bastad, Sweden",16.07.1972,GP,Outdoor: Clay,Draw: 32,,,$,R32,Jun Kamiwazumi (JPN),N/A,"W 6-2, 7-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=316&y=1972&r=3&p=B058,Bastad,R32,0,Bjorn Borg,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Jun Kamiwazumi,Japan,,,,,,,,,,,,,,,,,,,,,,,,
