year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1968,"Roland Garros, France",27.05.1968,GS,Outdoor: Clay,Draw: 128,,,$,R128,Jean-Pierre Olivier (FRA),N/A,"W 6-2, 6-1, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=520&y=1968&r=1&p=N008,Roland Garros,R128,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Jean-Pierre Olivier,France,,,,,,,,,,,,,,,,,,,,,,,,
1968,"Roland Garros, France",27.05.1968,GS,Outdoor: Clay,Draw: 128,,,$,R64,Dick Crealy (AUS),N/A,"L 6-4, 6-8, 5-7, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=520&y=1968&r=2&p=N008,Roland Garros,R64,0,Dick Crealy,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Dick Crealy,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Paris Indoor, France",05.11.1969,GP,Indoor: Carpet,Draw: 32,,,$,R32,Bye,N/A,W ,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=1969&r=3&p=N008,Paris Indoor,R32,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,N/A Bye,,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Paris Indoor, France",05.11.1969,GP,Indoor: Carpet,Draw: 32,,,$,R16,Pierre Barthes (FRA),N/A,"L 7-9, 6-4, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=1969&r=4&p=N008,Paris Indoor,R16,0,Pierre Barthes,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Pierre Barthes,France,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Stockholm Open, Sweden",01.11.1969,GP,Indoor: Hard,Draw: 32,,,$,R32,Tony Roche (AUS),N/A,"W 6-2, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1969&r=3&p=N008,Stockholm Open,R32,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Tony Roche,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Stockholm Open, Sweden",01.11.1969,GP,Indoor: Hard,Draw: 32,,,$,R16,Hakan Zahr (SWE),N/A,"W 6-1, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1969&r=4&p=N008,Stockholm Open,R16,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Hakan Zahr,Sweden,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Stockholm Open, Sweden",01.11.1969,GP,Indoor: Hard,Draw: 32,,,$,Q,Ion Tiriac (ROU),N/A,"W 6-1, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1969&r=5&p=N008,Stockholm Open,Q,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Ion Tiriac,Romania,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Stockholm Open, Sweden",01.11.1969,GP,Indoor: Hard,Draw: 32,,,$,S,Stan Smith (USA),N/A,"W 6-4, 3-6, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1969&r=6&p=N008,Stockholm Open,S,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Stan Smith,United States,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Stockholm Open, Sweden",01.11.1969,GP,Indoor: Hard,Draw: 32,,,$,F,Nikola Pilic (CRO),N/A,"L 4-6, 6-4, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1969&r=7&p=N008,Stockholm Open,F,0,Nikola Pilic,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Nikola Pilic,Croatia,,,,,,,,,,,,,,,,,,,,,,,,
1969,"US Open, NY, U.S.A.",27.08.1969,GS,Outdoor: Grass,Draw: 128,,,$,R128,Ian Crookenden (NZL),N/A,"W 4-6, 6-4, 4-6, 6-3, 6-0",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1969&r=1&p=N008,US Open,R128,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Ian Crookenden,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,
1969,"US Open, NY, U.S.A.",27.08.1969,GS,Outdoor: Grass,Draw: 128,,,$,R64,Stan Smith (USA),N/A,"W 5-7, 12-10, 7-5, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1969&r=2&p=N008,US Open,R64,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Stan Smith,United States,,,,,,,,,,,,,,,,,,,,,,,,
