year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1978,"Stockholm, Sweden",06.11.1978,GP,Indoor: Hard,Draw: 64,,,$,R64,Dick R. Bohrnstedt (USA),N/A,"W 7-5, 6-7, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1978&r=2&p=L018,Stockholm,R64,0,Ivan Lendl,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Dick R. Bohrnstedt,United States,,,,,,,,,,,,,,,,,,,,,,,,
1978,"Stockholm, Sweden",06.11.1978,GP,Indoor: Hard,Draw: 64,,,$,R32,Sandy Mayer (USA),N/A,"L 5-7, 6-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1978&r=3&p=L018,Stockholm,R32,0,Sandy Mayer,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Sandy Mayer,United States,,,,,,,,,,,,,,,,,,,,,,,,
1978,"Cologne, Germany",30.10.1978,GP,Indoor: Hard,Draw: 32,,,$,R32,Vladimir Zednik (CZE),N/A,"W 6-4, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=332&y=1978&r=3&p=L018,Cologne,R32,0,Ivan Lendl,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Vladimir Zednik,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,
1978,"Cologne, Germany",30.10.1978,GP,Indoor: Hard,Draw: 32,,,$,R16,Balazs Taroczy (HUN),N/A,"L 4-6, 6-1, 1-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=332&y=1978&r=4&p=L018,Cologne,R16,0,Balazs Taroczy,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Balazs Taroczy,Hungary,,,,,,,,,,,,,,,,,,,,,,,,
1978,"Vienna, Austria",29.10.1978,GP,Indoor: Hard,Draw: 32,,,$,R32,Bernard Mitton (RSA),N/A,"L 6-7, 6-3, 6-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=1978&r=3&p=L018,Vienna,R32,0,Bernard Mitton,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Bernard Mitton,South Africa,,,,,,,,,,,,,,,,,,,,,,,,
1978,"Barcelona, Spain",09.10.1978,GP,Outdoor: Clay,Draw: 64,,,$,R64,Ivan Molina (COL),N/A,"W 6-3, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=1978&r=2&p=L018,Barcelona,R64,0,Ivan Lendl,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Ivan Molina,Colombia,,,,,,,,,,,,,,,,,,,,,,,,
1978,"Barcelona, Spain",09.10.1978,GP,Outdoor: Clay,Draw: 64,,,$,R32,Hans Gildemeister (CHI),N/A,"W 6-4, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=1978&r=3&p=L018,Barcelona,R32,0,Ivan Lendl,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Hans Gildemeister,Chile,,,,,,,,,,,,,,,,,,,,,,,,
1978,"Barcelona, Spain",09.10.1978,GP,Outdoor: Clay,Draw: 64,,,$,R16,Belus Prajoux (CHI),N/A,"W 6-2, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=1978&r=4&p=L018,Barcelona,R16,0,Ivan Lendl,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Belus Prajoux,Chile,,,,,,,,,,,,,,,,,,,,,,,,
1978,"Barcelona, Spain",09.10.1978,GP,Outdoor: Clay,Draw: 64,,,$,Q,Wojtek Fibak (POL),N/A,"W 4-6, 7-6, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=1978&r=5&p=L018,Barcelona,Q,0,Ivan Lendl,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Wojtek Fibak,Poland,,,,,,,,,,,,,,,,,,,,,,,,
1978,"Barcelona, Spain",09.10.1978,GP,Outdoor: Clay,Draw: 64,,,$,S,Balazs Taroczy (HUN),N/A,"L 2-6, 5-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=1978&r=6&p=L018,Barcelona,S,0,Balazs Taroczy,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Balazs Taroczy,Hungary,,,,,,,,,,,,,,,,,,,,,,,,
