year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1970,"Phoenix, AZ, USA",18.10.1970,GP,Outdoor: Hard,Draw: 32,,,$,R32,Jim McManus (USA),N/A,"W 6-4, 7-5",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2067&y=1970&r=3&p=C044,Phoenix,R32,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jim McManus,United States,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Phoenix, AZ, USA",18.10.1970,GP,Outdoor: Hard,Draw: 32,,,$,R16,Stan Smith (USA),N/A,"L 4-6, 1-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2067&y=1970&r=4&p=C044,Phoenix,R16,0,Stan Smith,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Stan Smith,United States,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Los Angeles, CA, USA",19.09.1970,GP,Outdoor: Hard,Draw: 64,,,$,R64,Roy Emerson (AUS),N/A,"W 7-6, 6-7, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1970&r=2&p=C044,Los Angeles,R64,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Roy Emerson,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Los Angeles, CA, USA",19.09.1970,GP,Outdoor: Hard,Draw: 64,,,$,R32,Raymond Moore (RSA),N/A,"W 6-1, 6-7, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1970&r=3&p=C044,Los Angeles,R32,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Raymond Moore,South Africa,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Los Angeles, CA, USA",19.09.1970,GP,Outdoor: Hard,Draw: 64,,,$,R16,Clark Graebner (USA),N/A,"L 3-6, 6-2, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1970&r=4&p=C044,Los Angeles,R16,0,Clark Graebner,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Clark Graebner,United States,,,,,,,,,,,,,,,,,,,,,,,,
1970,"US Open, NY, U.S.A.",02.09.1970,GS,Outdoor: Grass,Draw: 128,,,$,R128,Mark Cox (GBR),N/A,"L 2-6, 4-6, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1970&r=1&p=C044,US Open,R128,0,Mark Cox,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Mark Cox,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Merion, PA, USA",23.08.1970,GP,Outdoor: Hard,Draw: 64,,,$,R64,Jean-Baptiste Chanfreau (FRA),N/A,"W 6-4, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2030&y=1970&r=2&p=C044,Merion,R64,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jean-Baptiste Chanfreau,France,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Merion, PA, USA",23.08.1970,GP,Outdoor: Hard,Draw: 64,,,$,R32,Allan Stone (AUS),N/A,"W 6-3, 7-5",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2030&y=1970&r=3&p=C044,Merion,R32,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Allan Stone,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Merion, PA, USA",23.08.1970,GP,Outdoor: Hard,Draw: 64,,,$,R16,Haroon Rahim (PAK),N/A,"L 6-7, 5-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2030&y=1970&r=4&p=C044,Merion,R16,0,Haroon Rahim,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Haroon Rahim,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Los Angeles, California",20.09.1971,GP,Outdoor: Hard,Draw: 64,,,$,R64,Allan Stone (AUS),N/A,"W 6-3, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1971&r=2&p=C044,Los Angeles,R64,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Allan Stone,Australia,,,,,,,,,,,,,,,,,,,,,,,,
