year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1983,"Sydney Outdoor, Australia",12.12.1983,GP,Outdoor: Grass,Draw: 64,,,$,R64,Charlie Fancutt (AUS),N/A,"W 6-2, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=1983&r=2&p=E004,Sydney Outdoor,R64,0,Stefan Edberg,Stefan Edberg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Charlie Fancutt,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1983,"Sydney Outdoor, Australia",12.12.1983,GP,Outdoor: Grass,Draw: 64,,,$,R32,Miloslav Mecir Sr. (SVK),N/A,"L 4-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=1983&r=3&p=E004,Sydney Outdoor,R32,0,Miloslav Mecir Sr.,Stefan Edberg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Miloslav Mecir Sr.,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,
1983,"Australian Open, Australia",29.11.1983,GS,Outdoor: Grass,Draw: 96,,,$,R128,Bye,N/A,W ,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=580&y=1983&r=1&p=E004,Australian Open,R128,0,Stefan Edberg,Stefan Edberg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,N/A Bye,,,,,,,,,,,,,,,,,,,,,,,,,
1983,"Australian Open, Australia",29.11.1983,GS,Outdoor: Grass,Draw: 96,,,$,R64,Jeff Borowiak (USA),N/A,"L 3-6, 6-2, 5-7, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=580&y=1983&r=2&p=E004,Australian Open,R64,0,Jeff Borowiak,Stefan Edberg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Jeff Borowiak,United States,,,,,,,,,,,,,,,,,,,,,,,,
1983,"Stockholm, Sweden",31.10.1983,GP,Indoor: Hard,Draw: 64,,,$,R64,Corrado Barazzutti (ITA),40,"W 6-3, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1983&r=2&p=E004,Stockholm,R64,0,Stefan Edberg,Stefan Edberg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Corrado Barazzutti,Italy,,,,,,,,,,,,,,,,,,,,,,,,
1983,"Stockholm, Sweden",31.10.1983,GP,Indoor: Hard,Draw: 64,,,$,R32,Steve Denton (USA),25,"W 7-5, 4-6, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1983&r=3&p=E004,Stockholm,R32,0,Stefan Edberg,Stefan Edberg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Steve Denton,United States,,,,,,,,,,,,,,,,,,,,,,,,
1983,"Stockholm, Sweden",31.10.1983,GP,Indoor: Hard,Draw: 64,,,$,R16,Johan Kriek (USA),15,"L 3-6, 6-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1983&r=4&p=E004,Stockholm,R16,0,Johan Kriek,Stefan Edberg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Johan Kriek,United States,,,,,,,,,,,,,,,,,,,,,,,,
1983,"Vienna, Austria",17.10.1983,GP,Indoor: Hard,Draw: 32,,,$,R32,Wojtek Fibak (POL),N/A,"W 6-4, 4-3 RET",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=1983&r=3&p=E004,Vienna,R32,0,Stefan Edberg,Stefan Edberg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Wojtek Fibak,Poland,,,,,,,,,,,,,,,,,,,,,,,,
1983,"Vienna, Austria",17.10.1983,GP,Indoor: Hard,Draw: 32,,,$,R16,Marcos Hocevar (BRA),N/A,"W 6-4, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=1983&r=4&p=E004,Vienna,R16,0,Stefan Edberg,Stefan Edberg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Marcos Hocevar,Brazil,,,,,,,,,,,,,,,,,,,,,,,,
1983,"Vienna, Austria",17.10.1983,GP,Indoor: Hard,Draw: 32,,,$,Q,Eric Korita (USA),N/A,"W 6-4, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=1983&r=5&p=E004,Vienna,Q,0,Stefan Edberg,Stefan Edberg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Eric Korita,United States,,,,,,,,,,,,,,,,,,,,,,,,
