tourney_year,tourney_name,tourney_name_slug,tourney_id,tourney_location,tourney_dates,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,player_name,player_slug,player_id,player_event_points,player_ranking,match_round,opponent_name,opponent_name_slug,opponent_player_id,opponent_rank,match_win_loss,match_score,sets_won,sets_lost,sets_total,games_won,games_lost,games_total,tiebreaks_won,tiebreaks_lost,tiebreaks_total,match_time,match_duration,player_aces,player_double_faults,player_first_serves_in,player_first_serves_total,player_first_serve_percentage,player_first_serve_points_won,player_first_serve_points_total,player_first_serve_points_won_percentage,player_second_serve_points_won,player_second_serve_points_total,player_second_serve_points_won_percentage,player_break_points_saved,player_break_points_serve_total,player_break_points_saved_percentage,player_service_points_won,player_service_points_total,player_service_points_won_percentage,player_first_serve_return_won,player_first_serve_return_total,player_first_serve_return_percentage,player_second_serve_return_won,player_second_serve_return_total,player_second_serve_return_won_percentage,player_break_points_converted,player_break_points_return_total,player_break_points_converted_percentage,player_service_games_played,player_return_games_played,player_return_points_won,player_return_points_total,player_total_points_won,player_total_points_total,player_total_points_won_percentage,opponent_aces,opponent_double_faults,opponent_first_serves_in,opponent_first_serves_total,opponent_first_serve_percentage,opponent_first_serve_points_won,opponent_first_serve_points_total,opponent_first_serve_points_won_percentage,opponent_second_serve_points_won,opponent_second_serve_points_total,opponent_second_serve_points_won_percentage,opponent_break_points_saved,opponent_break_points_serve_total,opponent_break_points_saved_percentage,opponent_service_points_won,opponent_service_points_total,opponent_service_points_won_percentage,opponent_first_serve_return_won,opponent_first_serve_return_total,opponent_first_serve_return_percentage,opponent_second_serve_return_won,opponent_second_serve_return_total,opponent_second_serve_return_won_percentage,opponent_break_points_converted,opponent_break_points_return_total,opponent_break_points_converted_percentage,opponent_service_games_played,opponent_return_games_played,opponent_return_points_won,opponent_return_points_total,opponent_total_points_won,opponent_total_points_total,opponent_total_points_won_percentage
2016,Wimbledon,wimbledon,540,"London, Great Britain",2016.06.27 - 2016.07.10,128,64,Outdoor,Grass,Roger Federer,roger-federer,f324,720,3,Semi-Finals,Milos Raonic,milos-raonic,r975,7,L,36 76(3) 64 57 36,2,3,5,24,29,53,1,0,1,03:25:00,205,16,5,98,160,61,80,98,82,32,62,52,5,8,63,112,160,70,19,113,17,29,54,54,1,9,11,25,27,48,167,160,327,49,23,11,113,167,68,94,113,83,25,54,46,8,9,89,119,167,71,18,98,18,30,62,48,3,8,38,27,25,48,160,167,327,51
2016,Wimbledon,wimbledon,540,"London, Great Britain",2016.06.27 - 2016.07.10,128,64,Outdoor,Grass,Roger Federer,roger-federer,f324,720,3,Quarter-Finals,Marin Cilic,marin-cilic,c977,13,W,67(4) 46 63 76(9) 63,3,2,5,29,25,54,1,1,2,03:17:00,197,27,0,106,169,63,84,106,79,37,63,59,7,8,88,121,169,72,17,93,18,32,70,46,2,9,22,27,25,49,163,170,332,51,23,7,93,163,57,76,93,82,38,70,54,7,9,78,114,163,70,22,106,21,26,63,41,1,8,13,25,27,48,169,162,332,49
2016,Wimbledon,wimbledon,540,"London, Great Britain",2016.06.27 - 2016.07.10,128,64,Outdoor,Grass,Roger Federer,roger-federer,f324,720,3,Round of 16,Steve Johnson,steve-johnson,j386,29,W,62 63 75,3,0,3,19,10,29,,,,01:37:00,97,6,2,55,83,66,41,55,75,20,28,71,3,4,75,61,83,73,25,65,38,21,36,58,5,10,50,15,14,46,101,107,184,58,8,3,65,101,64,40,65,62,15,36,42,5,10,50,55,101,54,14,55,25,8,28,29,1,4,25,14,15,22,83,77,184,42
2016,Wimbledon,wimbledon,540,"London, Great Britain",2016.06.27 - 2016.07.10,128,64,Outdoor,Grass,Roger Federer,roger-federer,f324,720,3,Round of 32,Daniel Evans,daniel-evans,e687,91,W,64 62 62,3,0,3,18,8,26,,,,01:26:00,86,11,0,45,67,67,40,45,89,11,22,50,1,2,50,51,67,76,28,54,52,19,40,48,6,15,40,13,13,47,94,98,161,61,0,8,54,94,57,26,54,48,21,40,53,9,15,60,47,94,50,5,45,11,11,22,50,1,2,50,13,13,16,67,63,161,39
2016,Wimbledon,wimbledon,540,"London, Great Britain",2016.06.27 - 2016.07.10,128,64,Outdoor,Grass,Roger Federer,roger-federer,f324,720,3,Round of 64,Marcus Willis,marcus-willis,w521,772,W,60 63 64,3,0,3,18,7,25,,,,01:25:00,85,9,0,45,73,62,35,45,78,19,28,68,2,2,100,54,73,74,18,50,36,19,33,58,5,12,42,13,12,37,83,91,156,58,9,3,50,83,60,32,50,64,14,33,42,7,12,58,46,83,55,10,45,22,9,28,32,0,2,0,12,13,19,73,65,156,42
2016,Wimbledon,wimbledon,540,"London, Great Britain",2016.06.27 - 2016.07.10,128,64,Outdoor,Grass,Roger Federer,roger-federer,f324,720,3,Round of 128,Guido Pella,guido-pella,pc11,52,W,76(5) 76(3) 63,3,0,3,20,15,35,2,0,2,02:05:00,125,12,0,60,94,64,53,60,88,23,34,68,0,0,0,76,94,81,25,75,33,17,44,39,1,9,11,17,16,42,119,118,213,55,5,1,75,119,63,50,75,67,27,44,61,8,9,89,77,119,65,7,60,12,11,34,32,0,0,0,16,17,18,94,95,213,45
2016,Gerry Weber Open,halle,500,"Halle, Germany",2016.06.13 - 2016.06.19,32,16,Outdoor,Grass,Roger Federer,roger-federer,f324,180,3,Semi-Finals,Alexander Zverev,alexander-zverev,z355,38,L,67(4) 75 36,1,2,3,16,18,34,0,1,1,02:06:00,126,7,2,58,97,60,46,58,79,21,39,54,2,3,67,67,97,69,14,68,21,13,36,36,1,7,14,16,17,27,104,94,201,47,8,4,68,104,65,54,68,79,23,36,64,6,7,86,77,104,74,12,58,21,18,39,46,1,3,33,17,16,30,97,107,201,53
2016,Gerry Weber Open,halle,500,"Halle, Germany",2016.06.13 - 2016.06.19,32,16,Outdoor,Grass,Roger Federer,roger-federer,f324,180,3,Quarter-Finals,David Goffin,david-goffin,gb88,11,W,61 76(10) ,2,0,2,13,7,20,1,0,1,01:21:00,81,6,2,36,53,68,28,36,78,7,17,41,0,3,0,35,53,66,20,46,43,20,32,63,6,14,43,9,10,40,78,75,131,57,2,2,46,78,59,26,46,57,12,32,38,8,14,57,38,78,49,8,36,22,10,17,59,3,3,100,10,9,18,53,56,131,43
2016,Gerry Weber Open,halle,500,"Halle, Germany",2016.06.13 - 2016.06.19,32,16,Outdoor,Grass,Roger Federer,roger-federer,f324,180,3,Round of 16,Malek Jaziri,malek-jaziri,j267,64,W,63 75,2,0,2,13,8,21,,,,01:09:00,69,5,0,39,58,67,31,39,79,10,19,53,1,2,50,41,58,71,4,25,16,17,31,55,3,4,75,11,10,21,56,62,114,54,3,3,25,56,45,21,25,84,14,31,45,1,4,25,35,56,63,8,39,21,9,19,47,1,2,50,10,11,17,58,52,114,46
2016,Gerry Weber Open,halle,500,"Halle, Germany",2016.06.13 - 2016.06.19,32,16,Outdoor,Grass,Roger Federer,roger-federer,f324,180,3,Round of 32,Jan-Lennard Struff,jan-lennard-struff,sl28,88,W,64 76(3) ,2,0,2,13,10,23,1,0,1,01:13:00,73,11,2,35,56,63,33,35,94,16,21,76,0,0,0,49,56,88,8,36,22,14,36,39,1,4,25,11,11,22,72,71,128,55,5,2,36,72,50,28,36,78,22,36,61,3,4,75,50,72,69,2,35,6,5,21,24,0,0,0,11,11,7,56,57,128,45
2016,Mercedes Cup,stuttgart,321,"Stuttgart, Germany",2016.06.06 - 2016.06.13,28,16,Outdoor,Grass,Roger Federer,roger-federer,f324,90,3,Semi-Finals,Dominic Thiem,dominic-thiem,tb69,7,L,63 67(7) 46,1,2,3,16,16,32,0,1,1,01:58:00,118,9,2,69,109,63,52,69,75,17,40,43,2,5,40,69,109,63,16,62,26,21,40,53,3,8,38,16,15,37,102,106,211,50,9,6,62,102,61,46,62,74,19,40,48,5,8,63,65,102,64,17,69,25,23,40,58,3,5,60,15,16,40,109,105,211,50
2016,Mercedes Cup,stuttgart,321,"Stuttgart, Germany",2016.06.06 - 2016.06.13,28,16,Outdoor,Grass,Roger Federer,roger-federer,f324,90,3,Quarter-Finals,Florian Mayer,florian-mayer,mb02,226,W,76(2) 76(1) ,2,0,2,14,12,26,2,0,2,01:26:00,86,15,3,49,79,62,43,49,88,15,30,50,5,6,83,58,79,73,18,55,33,12,29,41,1,6,17,12,12,30,84,88,163,54,5,0,55,84,65,37,55,67,17,29,59,5,6,83,54,84,64,6,49,12,15,30,50,1,6,17,12,12,21,79,75,163,46
