1991-7308-MS001-5-1-k181-s351,adelaide,/en/scores/1991/7308/MS001/match-stats?isLive=False,01:29:00,89,k181,269,1,2,44,65,31,44,12,21,2,5,12,182,16,47,21,36,4,7,12,43,65,37,83,80,148,s351,238,12,5,47,83,31,47,15,36,3,7,12,158,13,44,9,21,3,5,12,46,83,22,65,68,148
1991-7308-MS003-4-2-s351-c243,adelaide,/en/scores/1991/7308/MS003/match-stats?isLive=False,01:44:00,104,s351,272,7,4,37,80,26,37,27,43,5,6,11,155,11,40,13,31,2,3,11,53,80,24,71,77,151,c243,268,2,2,40,71,29,40,18,31,1,3,11,93,11,37,16,43,1,6,11,47,71,27,80,74,151
1991-7308-MS002-4-1-k181-l206,adelaide,/en/scores/1991/7308/MS002/match-stats?isLive=False,01:20:00,80,k181,281,3,0,0,65,29,46,12,19,0,2,11,187,12,36,20,33,4,7,11,41,65,32,69,73,134,l206,222,1,0,36,69,24,36,13,33,3,7,11,192,17,46,7,19,2,2,11,37,69,24,65,61,134
1991-7308-MS007-3-4-c243-s367,adelaide,/en/scores/1991/7308/MS007/match-stats?isLive=False,01:20:00,80,c243,306,5,2,41,61,31,41,14,20,0,1,11,161,6,34,15,27,2,3,10,45,61,21,61,66,122,s367,258,1,5,34,61,28,34,12,27,1,3,10,163,10,41,6,20,1,1,11,40,61,16,61,56,122
1991-7308-MS006-3-3-s351-a031,adelaide,/en/scores/1991/7308/MS006/match-stats?isLive=False,01:30:00,90,s351,287,5,2,45,74,34,45,18,29,2,4,14,148,18,57,12,24,3,7,13,52,74,30,81,82,155,a031,264,2,2,57,81,39,57,12,24,4,7,13,126,11,45,11,29,2,4,14,51,81,22,74,73,155
1991-7308-MS005-3-2-k181-s424,adelaide,/en/scores/1991/7308/MS005/match-stats?isLive=False,00:55:00,55,k181,250,0,1,17,36,11,17,13,19,1,3,7,285,15,29,19,25,7,10,8,24,36,34,54,58,90,s424,138,2,2,29,54,14,29,6,25,3,10,8,162,6,17,6,19,2,3,7,20,54,12,36,32,90
1991-7308-MS004-3-1-l206-k030,adelaide,/en/scores/1991/7308/MS004/match-stats?isLive=False,01:59:00,119,l206,298,11,0,0,97,54,65,14,32,1,2,15,86,9,54,21,42,1,8,15,68,97,30,96,98,193,k030,287,9,4,54,96,45,54,21,42,7,8,15,129,11,65,18,32,1,2,15,66,96,29,97,95,193
1991-7308-MS015-2-8-c243-h223,adelaide,/en/scores/1991/7308/MS015/match-stats?isLive=False,01:21:00,81,c243,292,2,0,0,55,24,37,14,18,2,4,10,172,15,36,14,28,4,10,10,38,55,29,64,67,119,h223,223,2,3,36,64,21,36,14,28,6,10,10,127,13,37,4,18,2,4,10,35,64,17,55,52,119
1991-7308-MS011-2-7-k181-g182,adelaide,/en/scores/1991/7308/MS011/match-stats?isLive=False,01:35:00,95,k181,275,3,2,35,73,26,35,23,38,1,2,12,183,24,58,13,22,5,12,12,49,73,37,80,86,153,g182,233,2,0,58,80,34,58,9,22,7,12,12,123,9,35,15,38,1,2,12,43,80,24,73,67,153
1991-7308-MS012-2-6-s351-b051,adelaide,/en/scores/1991/7308/MS012/match-stats?isLive=False,01:20:00,80,s351,275,6,4,30,63,24,30,18,33,4,5,10,217,16,42,15,22,4,6,9,42,63,31,64,73,127,b051,215,2,2,42,64,26,42,7,22,2,6,9,95,6,30,15,33,1,5,10,33,64,21,63,54,127
1991-7308-MS009-2-5-k030-w136,adelaide,/en/scores/1991/7308/MS009/match-stats?isLive=False,01:29:00,89,k030,259,6,3,37,71,25,37,19,34,1,3,10,201,16,36,16,28,5,10,10,44,71,32,64,76,135,w136,207,4,2,36,64,20,36,12,28,5,10,10,163,12,37,15,34,2,3,10,32,64,27,71,59,135
1991-7308-MS013-2-4-a031-s331,adelaide,/en/scores/1991/7308/MS013/match-stats?isLive=False,01:09:00,69,a031,266,2,3,44,58,28,44,7,14,6,8,9,203,7,24,20,32,5,9,9,35,58,27,56,62,114,s331,195,3,4,24,56,17,24,12,32,4,9,9,133,16,44,7,14,2,8,9,29,56,23,58,52,114
1991-7308-MS008-2-3-l206-z006,adelaide,/en/scores/1991/7308/MS008/match-stats?isLive=False,01:49:00,109,l206,284,10,0,0,87,40,52,25,35,0,0,12,59,9,56,15,35,0,0,12,65,87,24,91,89,178,z006,290,13,1,56,91,47,56,20,35,0,0,12,52,12,52,10,35,0,0,12,67,91,22,87,89,178
1991-7308-MS010-2-2-s424-r023,adelaide,/en/scores/1991/7308/MS010/match-stats?isLive=False,01:48:00,108,s424,263,3,2,49,87,36,49,19,38,1,3,12,138,17,49,16,33,3,10,12,55,87,33,82,88,169,r023,256,5,1,49,82,32,49,17,33,7,10,12,160,13,49,19,38,2,3,12,49,82,32,87,81,169
1991-7308-MS014-2-1-s367-w035,adelaide,/en/scores/1991/7308/MS014/match-stats?isLive=False,01:49:00,109,s367,248,3,7,66,99,42,66,16,33,4,8,15,175,19,50,13,28,5,9,14,58,99,32,78,90,177,w035,244,3,3,50,78,31,50,15,28,4,9,14,164,24,66,17,33,4,8,15,46,78,41,99,87,177
1991-7308-MS016-1-16-l206-b028,adelaide,/en/scores/1991/7308/MS016/match-stats?isLive=False,02:10:00,130,l206,279,6,2,55,96,39,55,25,41,2,4,15,96,18,62,10,33,2,8,16,64,96,28,95,92,191,b028,298,8,3,62,95,44,62,23,33,6,8,16,131,16,55,16,41,2,4,15,67,95,32,96,99,191
1991-7308-MS031-1-15-c243-m093,adelaide,/en/scores/1991/7308/MS031/match-stats?isLive=False,01:53:00,113,c243,299,6,3,48,68,38,48,11,20,1,2,12,155,15,51,25,38,4,15,12,49,68,40,89,89,157,m093,235,9,2,51,89,36,51,13,38,11,15,12,124,10,48,9,20,1,2,12,49,89,19,68,68,157
